# locale	currency	currency_format_length	currency_format_type	currency_display	input	expected
af	USD	standard	standard	code	0.0	USD 0,00
af	USD	standard	standard	code	1.2	USD 1,20
af	USD	standard	standard	code	0.00831765	USD 0,01
af	USD	standard	standard	code	1234565.0	USD 1 234 565,00
af	USD	standard	standard	code	-1230.05	-USD 1 230,05
af	EUR	standard	standard	code	0.0	EUR 0,00
af	EUR	standard	standard	code	1.2	EUR 1,20
af	EUR	standard	standard	code	0.00831765	EUR 0,01
af	EUR	standard	standard	code	1234565.0	EUR 1 234 565,00
af	EUR	standard	standard	code	-1230.05	-EUR 1 230,05
af	JPY	standard	standard	code	0.0	JPY 0
af	JPY	standard	standard	code	1.2	JPY 1
af	JPY	standard	standard	code	0.00831765	JPY 0
af	JPY	standard	standard	code	1234565.0	JPY 1 234 565
af	JPY	standard	standard	code	-1230.05	-JPY 1 230
af	RUB	standard	standard	code	0.0	RUB 0,00
af	RUB	standard	standard	code	1.2	RUB 1,20
af	RUB	standard	standard	code	0.00831765	RUB 0,01
af	RUB	standard	standard	code	1234565.0	RUB 1 234 565,00
af	RUB	standard	standard	code	-1230.05	-RUB 1 230,05
af	EGP	standard	standard	code	0.0	EGP 0,00
af	EGP	standard	standard	code	1.2	EGP 1,20
af	EGP	standard	standard	code	0.00831765	EGP 0,01
af	EGP	standard	standard	code	1234565.0	EGP 1 234 565,00
af	EGP	standard	standard	code	-1230.05	-EGP 1 230,05
af		standard	standard	code	0.0	0
af		standard	standard	code	1.2	1,2
af		standard	standard	code	0.00831765	0,008318
af		standard	standard	code	1234565.0	1 234 565
af		standard	standard	code	-1230.05	-1 230,05
am	USD	standard	standard	code	0.0	USD 0.00
am	USD	standard	standard	code	1.2	USD 1.20
am	USD	standard	standard	code	0.00831765	USD 0.01
am	USD	standard	standard	code	1234565.0	USD 1,234,565.00
am	USD	standard	standard	code	-1230.05	-USD 1,230.05
am	EUR	standard	standard	code	0.0	EUR 0.00
am	EUR	standard	standard	code	1.2	EUR 1.20
am	EUR	standard	standard	code	0.00831765	EUR 0.01
am	EUR	standard	standard	code	1234565.0	EUR 1,234,565.00
am	EUR	standard	standard	code	-1230.05	-EUR 1,230.05
am	JPY	standard	standard	code	0.0	JPY 0
am	JPY	standard	standard	code	1.2	JPY 1
am	JPY	standard	standard	code	0.00831765	JPY 0
am	JPY	standard	standard	code	1234565.0	JPY 1,234,565
am	JPY	standard	standard	code	-1230.05	-JPY 1,230
am	RUB	standard	standard	code	0.0	RUB 0.00
am	RUB	standard	standard	code	1.2	RUB 1.20
am	RUB	standard	standard	code	0.00831765	RUB 0.01
am	RUB	standard	standard	code	1234565.0	RUB 1,234,565.00
am	RUB	standard	standard	code	-1230.05	-RUB 1,230.05
am	EGP	standard	standard	code	0.0	EGP 0.00
am	EGP	standard	standard	code	1.2	EGP 1.20
am	EGP	standard	standard	code	0.00831765	EGP 0.01
am	EGP	standard	standard	code	1234565.0	EGP 1,234,565.00
am	EGP	standard	standard	code	-1230.05	-EGP 1,230.05
am		standard	standard	code	0.0	0
am		standard	standard	code	1.2	1.2
am		standard	standard	code	0.00831765	0.008318
am		standard	standard	code	1234565.0	1,234,565
am		standard	standard	code	-1230.05	-1,230.05
as	USD	standard	standard	code	0.0	USD ০.০০
as	USD	standard	standard	code	1.2	USD ১.২০
as	USD	standard	standard	code	0.00831765	USD ০.০১
as	USD	standard	standard	code	1234565.0	USD ১২,৩৪,৫৬৫.০০
as	USD	standard	standard	code	-1230.05	-USD ১,২৩০.০৫
as	EUR	standard	standard	code	0.0	EUR ০.০০
as	EUR	standard	standard	code	1.2	EUR ১.২০
as	EUR	standard	standard	code	0.00831765	EUR ০.০১
as	EUR	standard	standard	code	1234565.0	EUR ১২,৩৪,৫৬৫.০০
as	EUR	standard	standard	code	-1230.05	-EUR ১,২৩০.০৫
as	JPY	standard	standard	code	0.0	JPY ০
as	JPY	standard	standard	code	1.2	JPY ১
as	JPY	standard	standard	code	0.00831765	JPY ০
