# locale	currency	currency_format_length	currency_format_type	currency_display	input	expected
ar	USD	short	standard	code	-5.0E12	‎-‏5 ترليون USD
ar	USD	short	standard	code	-1.5E12	‎-‏1.5 ترليون USD
ar	USD	short	standard	code	-1.0E12	‎-‏1 ترليون USD
ar	USD	short	standard	code	-5.0E11	‎-‏500 مليار USD
ar	USD	short	standard	code	-1.5E11	‎-‏150 مليار USD
ar	USD	short	standard	code	-1.0E11	‎-‏100 مليار USD
ar	USD	short	standard	code	-5.0E10	‎-‏50 مليار USD
ar	USD	short	standard	code	-1.5E10	‎-‏15 مليار USD
ar	USD	short	standard	code	-1.0E10	‎-‏10 مليار USD
ar	USD	short	standard	code	-5.0E9	‎-‏5 مليار USD
ar	USD	short	standard	code	-1.5E9	‎-‏1.5 مليار USD
ar	USD	short	standard	code	-1.0E9	‎-‏1 مليار USD
ar	USD	short	standard	code	-5.0E8	‎-‏500 مليون USD
ar	USD	short	standard	code	-1.5E8	‎-‏150 مليون USD
ar	USD	short	standard	code	-1.0E8	‎-‏100 مليون USD
ar	USD	short	standard	code	-5.0E7	‎-‏50 مليون USD
ar	USD	short	standard	code	-1.5E7	‎-‏15 مليون USD
ar	USD	short	standard	code	-1.0E7	‎-‏10 مليون USD
ar	USD	short	standard	code	-5000000.0	‎-‏5 مليون USD
ar	USD	short	standard	code	-1500000.0	‎-‏1.5 مليون USD
ar	USD	short	standard	code	-1234567.0	‎-‏1.2 مليون USD
ar	USD	short	standard	code	-1234565.0	‎-‏1.2 مليون USD
ar	USD	short	standard	code	-1000000.0	‎-‏1 مليون USD
ar	USD	short	standard	code	-999999.9	‎-‏1 مليون USD
ar	USD	short	standard	code	-500000.0	‎-‏500 ألف USD
ar	USD	short	standard	code	-150000.0	‎-‏150 ألف USD
ar	USD	short	standard	code	-100000.0	‎-‏100 ألف USD
ar	USD	short	standard	code	-50000.0	‎-‏50 ألف USD
ar	USD	short	standard	code	-15000.0	‎-‏15 ألف USD
ar	USD	short	standard	code	-10000.0	‎-‏10 ألف USD
ar	USD	short	standard	code	-5000.0	‎-‏5 آلاف USD
ar	USD	short	standard	code	-1500.0	‎-‏1.5 ألف USD
ar	USD	short	standard	code	-1234.56	‎-‏1.2 ألف USD
ar	USD	short	standard	code	-1000.0	‎-‏1 ألف USD
ar	USD	short	standard	code	-999.9	‎-‏1 ألف USD
ar	USD	short	standard	code	-500.0	‏‎-500 USD
ar	USD	short	standard	code	-150.0	‏‎-150 USD
ar	USD	short	standard	code	-123.0	‏‎-123 USD
ar	USD	short	standard	code	-100.0	‏‎-100 USD
ar	USD	short	standard	code	-50.0	‏‎-50 USD
ar	USD	short	standard	code	-15.0	‏‎-15 USD
ar	USD	short	standard	code	-12.0	‏‎-12 USD
