# locale	currency	currency_format_length	currency_format_type	currency_display	input	expected
af	USD	short	standard	code	1.2	USD 1,2
af	USD	short	standard	code	-1230.05	-USD 1,2 k
af	JPY	short	standard	code	1.2	JPY 1,2
af	JPY	short	standard	code	-1230.05	-JPY 1,2 k
am	USD	short	standard	code	1.2	USD 1.2
am	USD	short	standard	code	-1230.05	-USD 1.2 ሺ
am	JPY	short	standard	code	1.2	JPY 1.2
am	JPY	short	standard	code	-1230.05	-JPY 1.2 ሺ
as	USD	short	standard	code	1.2	USD ১.২
as	USD	short	standard	code	-1230.05	-USD ১.২ হাজাৰ
as	JPY	short	standard	code	1.2	JPY ১.২
as	JPY	short	standard	code	-1230.05	-JPY ১.২ হাজাৰ
az	USD	short	standard	code	1.2	1,2 USD
az	USD	short	standard	code	-1230.05	-1,2K USD
az	JPY	short	standard	code	1.2	1,2 JPY
az	JPY	short	standard	code	-1230.05	-1,2K JPY
be	USD	short	standard	code	1.2	1,2 USD
be	USD	short	standard	code	-1230.05	-1,2 тыс. USD
be	JPY	short	standard	code	1.2	1,2 JPY
be	JPY	short	standard	code	-1230.05	-1,2 тыс. JPY
bg	USD	short	standard	code	1.2	1,2 USD
bg	USD	short	standard	code	-1230.05	-1,2 хил. USD
bg	JPY	short	standard	code	1.2	1,2 JPY
bg	JPY	short	standard	code	-1230.05	-1,2 хил. JPY
bs	USD	short	standard	code	1.2	1,2 USD
bs	USD	short	standard	code	-1230.05	-1,2 hilj. USD
bs	JPY	short	standard	code	1.2	1,2 JPY
bs	JPY	short	standard	code	-1230.05	-1,2 hilj. JPY
ca	USD	short	standard	code	1.2	1,2 USD
ca	USD	short	standard	code	-1230.05	-1,2 k USD
ca	JPY	short	standard	code	1.2	1,2 JPY
ca	JPY	short	standard	code	-1230.05	-1,2 k JPY
cs	USD	short	standard	code	1.2	1,2 USD
cs	USD	short	standard	code	-1230.05	-1,2 tis. USD
cs	JPY	short	standard	code	1.2	1,2 JPY
cs	JPY	short	standard	code	-1230.05	-1,2 tis. JPY
cy	USD	short	standard	code	1.2	USD 1.2
cy	USD	short	standard	code	-1230.05	-USD 1.2K
cy	JPY	short	standard	code	1.2	JPY 1.2
cy	JPY	short	standard	code	-1230.05	-JPY 1.2K
da	USD	short	standard	code	1.2	1,2 USD
da	USD	short	standard	code	-1230.05	-1,2 t USD
da	JPY	short	standard	code	1.2	1,2 JPY
da	JPY	short	standard	code	-1230.05	-1,2 t JPY
el	USD	short	standard	code	1.2	1,2 USD
