locale	currency	currency_format	value_format_length	currency_display	input	expected
ar	AED	standard	decimal	narrowSymbol	0.0	‏0.00 د.إ.‏
ar	AED	standard	decimal	narrowSymbol	1.2	‏1.20 د.إ.‏
ar	AED	standard	decimal	narrowSymbol	0.00831765	‏0.01 د.إ.‏
ar	AED	standard	decimal	narrowSymbol	1234565.0	‏1,234,565.00 د.إ.‏
ar	AED	standard	decimal	narrowSymbol	-1230.05	‏‎-1,230.05 د.إ.‏
ar	AED	standard	compact-short	narrowSymbol	0.0	‏0 د.إ.‏
ar	AED	standard	compact-short	narrowSymbol	1.2	‏1.2 د.إ.‏
ar	AED	standard	compact-short	narrowSymbol	0.00831765	‏0.0083 د.إ.‏
ar	AED	standard	compact-short	narrowSymbol	1234565.0	‏1.2 مليون د.إ.‏
ar	AED	standard	compact-short	narrowSymbol	-1230.05	‎-‏1.2 ألف د.إ.‏
ar	AED	accounting	decimal	narrowSymbol	0.0	؜0.00 د.إ.‏
ar	AED	accounting	decimal	narrowSymbol	1.2	؜1.20 د.إ.‏
ar	AED	accounting	decimal	narrowSymbol	0.00831765	؜0.01 د.إ.‏
ar	AED	accounting	decimal	narrowSymbol	1234565.0	؜1,234,565.00 د.إ.‏
ar	AED	accounting	decimal	narrowSymbol	-1230.05	(؜1,230.05 د.إ.‏)
ar	AED	accounting	compact-short	narrowSymbol	0.0	؜0 د.إ.‏
ar	AED	accounting	compact-short	narrowSymbol	1.2	؜1.2 د.إ.‏
ar	AED	accounting	compact-short	narrowSymbol	0.00831765	؜0.0083 د.إ.‏
ar	AED	accounting	compact-short	narrowSymbol	1234565.0	‏1.2 مليون د.إ.‏
ar	AED	accounting	compact-short	narrowSymbol	-1230.05	‎-‏1.2 ألف د.إ.‏
ar	AFN	standard	decimal	narrowSymbol	0.0	‏0 ؋
ar	AFN	standard	decimal	narrowSymbol	1.2	‏1 ؋
ar	AFN	standard	decimal	narrowSymbol	0.00831765	‏0 ؋
ar	AFN	standard	decimal	narrowSymbol	1234565.0	‏1,234,565 ؋
ar	AFN	standard	decimal	narrowSymbol	-1230.05	‏‎-1,230 ؋
ar	AFN	standard	compact-short	narrowSymbol	0.0	‏0 ؋
ar	AFN	standard	compact-short	narrowSymbol	1.2	‏1.2 ؋
ar	AFN	standard	compact-short	narrowSymbol	0.00831765	‏0.0083 ؋
ar	AFN	standard	compact-short	narrowSymbol	1234565.0	‏1.2 مليون ؋
ar	AFN	standard	compact-short	narrowSymbol	-1230.05	‎-‏1.2 ألف ؋
ar	AFN	accounting	decimal	narrowSymbol	0.0	؜0؋
ar	AFN	accounting	decimal	narrowSymbol	1.2	؜1؋
ar	AFN	accounting	decimal	narrowSymbol	0.00831765	؜0؋
ar	AFN	accounting	decimal	narrowSymbol	1234565.0	؜1,234,565؋
ar	AFN	accounting	decimal	narrowSymbol	-1230.05	(؜1,230؋)
ar	AFN	accounting	compact-short	narrowSymbol	0.0	؜0؋
ar	AFN	accounting	compact-short	narrowSymbol	1.2	؜1.2؋
ar	AFN	accounting	compact-short	narrowSymbol	0.00831765	؜0.0083؋
ar	AFN	accounting	compact-short	narrowSymbol	1234565.0	‏1.2 مليون ؋
ar	AFN	accounting	compact-short	narrowSymbol	-1230.05	‎-‏1.2 ألف ؋
ar	ALL	standard	decimal	narrowSymbol	0.0	‏0 ALL
ar	ALL	standard	decimal	narrowSymbol	1.2	‏1 ALL
ar	ALL	standard	decimal	narrowSymbol	0.00831765	‏0 ALL
ar	ALL	standard	decimal	narrowSymbol	1234565.0	‏1,234,565 ALL
ar	ALL	standard	decimal	narrowSymbol	-1230.05	‏‎-1,230 ALL
ar	ALL	standard	compact-short	narrowSymbol	0.0	‏0 ALL
ar	ALL	standard	compact-short	narrowSymbol	1.2	‏1.2 ALL
ar	ALL	standard	compact-short	narrowSymbol	0.00831765	‏0.0083 ALL
ar	ALL	standard	compact-short	narrowSymbol	1234565.0	‏1.2 مليون ALL
ar	ALL	standard	compact-short	narrowSymbol	-1230.05	‎-‏1.2 ألف ALL
ar	ALL	accounting	decimal	narrowSymbol	0.0	؜0 ALL
ar	ALL	accounting	decimal	narrowSymbol	1.2	؜1 ALL
ar	ALL	accounting	decimal	narrowSymbol	0.00831765	؜0 ALL
ar	ALL	accounting	decimal	narrowSymbol	1234565.0	؜1,234,565 ALL
ar	ALL	accounting	decimal	narrowSymbol	-1230.05	(؜1,230 ALL)
ar	ALL	accounting	compact-short	narrowSymbol	0.0	؜0 ALL
ar	ALL	accounting	compact-short	narrowSymbol	1.2	؜1.2 ALL
ar	ALL	accounting	compact-short	narrowSymbol	0.00831765	؜0.0083 ALL
ar	ALL	accounting	compact-short	narrowSymbol	1234565.0	‏1.2 مليون ALL
ar	ALL	accounting	compact-short	narrowSymbol	-1230.05	‎-‏1.2 ألف ALL
ar	AMD	standard	decimal	narrowSymbol	0.0	‏0.00 ֏
ar	AMD	standard	decimal	narrowSymbol	1.2	‏1.20 ֏
ar	AMD	standard	decimal	narrowSymbol	0.00831765	‏0.01 ֏
ar	AMD	standard	decimal	narrowSymbol	1234565.0	‏1,234,565.00 ֏
ar	AMD	standard	decimal	narrowSymbol	-1230.05	‏‎-1,230.05 ֏
ar	AMD	standard	compact-short	narrowSymbol	0.0	‏0 ֏
ar	AMD	standard	compact-short	narrowSymbol	1.2	‏1.2 ֏
ar	AMD	standard	compact-short	narrowSymbol	0.00831765	‏0.0083 ֏
ar	AMD	standard	compact-short	narrowSymbol	1234565.0	‏1.2 مليون ֏
ar	AMD	standard	compact-short	narrowSymbol	-1230.05	‎-‏1.2 ألف ֏
ar	AMD	accounting	decimal	narrowSymbol	0.0	؜0.00֏
ar	AMD	accounting	decimal	narrowSymbol	1.2	؜1.20֏
ar	AMD	accounting	decimal	narrowSymbol	0.00831765	؜0.01֏
ar	AMD	accounting	decimal	narrowSymbol	1234565.0	؜1,234,565.00֏
ar	AMD	accounting	decimal	narrowSymbol	-1230.05	(؜1,230.05֏)
ar	AMD	accounting	compact-short	narrowSymbol	0.0	؜0֏
ar	AMD	accounting	compact-short	narrowSymbol	1.2	؜1.2֏
ar	AMD	accounting	compact-short	narrowSymbol	0.00831765	؜0.0083֏
ar	AMD	accounting	compact-short	narrowSymbol	1234565.0	‏1.2 مليون ֏
ar	AMD	accounting	compact-short	narrowSymbol	-1230.05	‎-‏1.2 ألف ֏
ar	AOA	standard	decimal	narrowSymbol	0.0	‏0.00 Kz
ar	AOA	standard	decimal	narrowSymbol	1.2	‏1.20 Kz
ar	AOA	standard	decimal	narrowSymbol	0.00831765	‏0.01 Kz
ar	AOA	standard	decimal	narrowSymbol	1234565.0	‏1,234,565.00 Kz
ar	AOA	standard	decimal	narrowSymbol	-1230.05	‏‎-1,230.05 Kz
ar	AOA	standard	compact-short	narrowSymbol	0.0	‏0 Kz
ar	AOA	standard	compact-short	narrowSymbol	1.2	‏1.2 Kz
ar	AOA	standard	compact-short	narrowSymbol	0.00831765	‏0.0083 Kz
ar	AOA	standard	compact-short	narrowSymbol	1234565.0	‏1.2 مليون Kz
ar	AOA	standard	compact-short	narrowSymbol	-1230.05	‎-‏1.2 ألف Kz
ar	AOA	accounting	decimal	narrowSymbol	0.0	؜0.00 Kz
ar	AOA	accounting	decimal	narrowSymbol	1.2	؜1.20 Kz
ar	AOA	accounting	decimal	narrowSymbol	0.00831765	؜0.01 Kz
ar	AOA	accounting	decimal	narrowSymbol	1234565.0	؜1,234,565.00 Kz
ar	AOA	accounting	decimal	narrowSymbol	-1230.05	(؜1,230.05 Kz)
ar	AOA	accounting	compact-short	narrowSymbol	0.0	؜0 Kz
ar	AOA	accounting	compact-short	narrowSymbol	1.2	؜1.2 Kz
ar	AOA	accounting	compact-short	narrowSymbol	0.00831765	؜0.0083 Kz
ar	AOA	accounting	compact-short	narrowSymbol	1234565.0	‏1.2 مليون Kz
ar	AOA	accounting	compact-short	narrowSymbol	-1230.05	‎-‏1.2 ألف Kz
ar	ARS	standard	decimal	narrowSymbol	0.0	‏0.00 AR$
ar	ARS	standard	decimal	narrowSymbol	1.2	‏1.20 AR$
ar	ARS	standard	decimal	narrowSymbol	0.00831765	‏0.01 AR$
ar	ARS	standard	decimal	narrowSymbol	1234565.0	‏1,234,565.00 AR$
ar	ARS	standard	decimal	narrowSymbol	-1230.05	‏‎-1,230.05 AR$
ar	ARS	standard	compact-short	narrowSymbol	0.0	‏0 AR$
ar	ARS	standard	compact-short	narrowSymbol	1.2	‏1.2 AR$
ar	ARS	standard	compact-short	narrowSymbol	0.00831765	‏0.0083 AR$
ar	ARS	standard	compact-short	narrowSymbol	1234565.0	‏1.2 مليون AR$
ar	ARS	standard	compact-short	narrowSymbol	-1230.05	‎-‏1.2 ألف AR$
ar	ARS	accounting	decimal	narrowSymbol	0.0	؜0.00 AR$
ar	ARS	accounting	decimal	narrowSymbol	1.2	؜1.20 AR$
ar	ARS	accounting	decimal	narrowSymbol	0.00831765	؜0.01 AR$
ar	ARS	accounting	decimal	narrowSymbol	1234565.0	؜1,234,565.00 AR$
ar	ARS	accounting	decimal	narrowSymbol	-1230.05	(؜1,230.05 AR$)
ar	ARS	accounting	compact-short	narrowSymbol	0.0	؜0 AR$
ar	ARS	accounting	compact-short	narrowSymbol	1.2	؜1.2 AR$
ar	ARS	accounting	compact-short	narrowSymbol	0.00831765	؜0.0083 AR$
ar	ARS	accounting	compact-short	narrowSymbol	1234565.0	‏1.2 مليون AR$
ar	ARS	accounting	compact-short	narrowSymbol	-1230.05	‎-‏1.2 ألف AR$
ar	AUD	standard	decimal	narrowSymbol	0.0	‏0.00 AU$
ar	AUD	standard	decimal	narrowSymbol	1.2	‏1.20 AU$
ar	AUD	standard	decimal	narrowSymbol	0.00831765	‏0.01 AU$
ar	AUD	standard	decimal	narrowSymbol	1234565.0	‏1,234,565.00 AU$
ar	AUD	standard	decimal	narrowSymbol	-1230.05	‏‎-1,230.05 AU$
ar	AUD	standard	compact-short	narrowSymbol	0.0	‏0 AU$
ar	AUD	standard	compact-short	narrowSymbol	1.2	‏1.2 AU$
ar	AUD	standard	compact-short	narrowSymbol	0.00831765	‏0.0083 AU$
ar	AUD	standard	compact-short	narrowSymbol	1234565.0	‏1.2 مليون AU$
ar	AUD	standard	compact-short	narrowSymbol	-1230.05	‎-‏1.2 ألف AU$
ar	AUD	accounting	decimal	narrowSymbol	0.0	؜0.00 AU$
