locale	currency	currency_format_type	number_format_length	currency_display	input	expected
ar	AED	standard		name	0.0	0.00 درهم إماراتي
ar	AED	standard		name	1.2	1.20 درهم إماراتي
ar	AED	standard		name	0.00831765	0.01 درهم إماراتي
ar	AED	standard		name	1234565.0	1,234,565.00 درهم إماراتي
ar	AED	standard		name	-1230.05	‎-1,230.05 درهم إماراتي
ar	AFN	standard		name	0.0	0 أفغاني أفغانستاني
ar	AFN	standard		name	1.2	1 أفغاني أفغانستاني
ar	AFN	standard		name	0.00831765	0 أفغاني أفغانستاني
ar	AFN	standard		name	1234565.0	1,234,565 أفغاني أفغانستاني
ar	AFN	standard		name	-1230.05	‎-1,230 أفغاني أفغانستاني
ar	ALL	standard		name	0.0	0 ليك ألباني
ar	ALL	standard		name	1.2	1 ليك ألباني
ar	ALL	standard		name	0.00831765	0 ليك ألباني
ar	ALL	standard		name	1234565.0	1,234,565 ليك ألباني
ar	ALL	standard		name	-1230.05	‎-1,230 ليك ألباني
ar	AMD	standard		name	0.0	0.00 درام أرميني
ar	AMD	standard		name	1.2	1.20 درام أرميني
ar	AMD	standard		name	0.00831765	0.01 درام أرميني
ar	AMD	standard		name	1234565.0	1,234,565.00 درام أرميني
ar	AMD	standard		name	-1230.05	‎-1,230.05 درام أرميني
ar	AOA	standard		name	0.0	0.00 كوانزا أنغولي
ar	AOA	standard		name	1.2	1.20 كوانزا أنغولي
ar	AOA	standard		name	0.00831765	0.01 كوانزا أنغولي
ar	AOA	standard		name	1234565.0	1,234,565.00 كوانزا أنغولي
ar	AOA	standard		name	-1230.05	‎-1,230.05 كوانزا أنغولي
ar	ARS	standard		name	0.0	0.00 بيزو أرجنتيني
ar	ARS	standard		name	1.2	1.20 بيزو أرجنتيني
ar	ARS	standard		name	0.00831765	0.01 بيزو أرجنتيني
ar	ARS	standard		name	1234565.0	1,234,565.00 بيزو أرجنتيني
ar	ARS	standard		name	-1230.05	‎-1,230.05 بيزو أرجنتيني
ar	AUD	standard		name	0.0	0.00 دولار أسترالي
