# locale	currency	currency_format_length	currency_format_type	currency_display	input	expected
ar	AED	standard	standard	narrowSymbol	1.2	‏1.20 د.إ.‏
ar	AED	standard	standard	narrowSymbol	-1230.05	‏‎-1,230.05 د.إ.‏
ar	AED	standard	accounting	narrowSymbol	1.2	؜1.20 د.إ.‏
ar	AED	standard	accounting	narrowSymbol	-1230.05	(؜1,230.05 د.إ.‏)
ar	AED	short	standard	narrowSymbol	1.2	‏1.2 د.إ.‏
ar	AED	short	standard	narrowSymbol	-1230.05	‎-‏1.2 ألف د.إ.‏
de	AED	standard	standard	narrowSymbol	1.2	1,20 AED
de	AED	standard	standard	narrowSymbol	-1230.05	-1.230,05 AED
de	AED	standard	accounting	narrowSymbol	1.2	1,20 AED
de	AED	standard	accounting	narrowSymbol	-1230.05	-1.230,05 AED
de	AED	short	standard	narrowSymbol	1.2	1,2 AED
de	AED	short	standard	narrowSymbol	-1230.05	-1230 AED
en	AED	standard	standard	narrowSymbol	1.2	AED 1.20
en	AED	standard	standard	narrowSymbol	-1230.05	-AED 1,230.05
en	AED	standard	accounting	narrowSymbol	1.2	AED 1.20
en	AED	standard	accounting	narrowSymbol	-1230.05	(AED 1,230.05)
en	AED	short	standard	narrowSymbol	1.2	AED 1.2
en	AED	short	standard	narrowSymbol	-1230.05	-AED 1.2K
en_CA	AED	standard	standard	narrowSymbol	1.2	AED 1.20
en_CA	AED	standard	standard	narrowSymbol	-1230.05	-AED 1,230.05
en_CA	AED	standard	accounting	narrowSymbol	1.2	AED 1.20
en_CA	AED	standard	accounting	narrowSymbol	-1230.05	(AED 1,230.05)
en_CA	AED	short	standard	narrowSymbol	1.2	AED 1.2
en_CA	AED	short	standard	narrowSymbol	-1230.05	-AED 1.2K
ar	AFN	standard	standard	narrowSymbol	1.2	‏1 ؋
ar	AFN	standard	standard	narrowSymbol	-1230.05	‏‎-1,230 ؋
ar	AFN	standard	accounting	narrowSymbol	1.2	؜1؋
ar	AFN	standard	accounting	narrowSymbol	-1230.05	(؜1,230؋)
