# locale	currency	currency_format_length	currency_format_type	currency_display	input	expected
af	USD	short	standard	name	1.2	1,2 VSA-dollar
af	USD	short	standard	name	-1230.05	-1,2 k VSA-dollar
af	JPY	short	standard	name	1.2	1,2 Japannese jen
af	JPY	short	standard	name	-1230.05	-1,2 k Japannese jen
am	USD	short	standard	name	1.2	1.2 የአሜሪካን ዶላር
am	USD	short	standard	name	-1230.05	-1.2 ሺ የአሜሪካን ዶላር
am	JPY	short	standard	name	1.2	1.2 የጃፓን የን
am	JPY	short	standard	name	-1230.05	-1.2 ሺ የጃፓን የን
as	USD	short	standard	name	1.2	১.২ ইউ. এছ. ডলাৰ
as	USD	short	standard	name	-1230.05	-১.২ হাজাৰ ইউ. এছ. ডলাৰ
as	JPY	short	standard	name	1.2	১.২ জাপানী য়েন
as	JPY	short	standard	name	-1230.05	-১.২ হাজাৰ জাপানী য়েন
az	USD	short	standard	name	1.2	1,2 ABŞ dolları
az	USD	short	standard	name	-1230.05	-1,2K ABŞ dolları
az	JPY	short	standard	name	1.2	1,2 Yaponiya yeni
az	JPY	short	standard	name	-1230.05	-1,2K Yaponiya yeni
be	USD	short	standard	name	1.2	1,2 долара ЗША
be	USD	short	standard	name	-1230.05	-1,2 тыс. долараў ЗША
be	JPY	short	standard	name	1.2	1,2 японскай іены
be	JPY	short	standard	name	-1230.05	-1,2 тыс. японскіх іен
bg	USD	short	standard	name	1.2	1,2 щатски долара
bg	USD	short	standard	name	-1230.05	-1,2 хил. щатски долара
bg	JPY	short	standard	name	1.2	1,2 японски йени
bg	JPY	short	standard	name	-1230.05	-1,2 хил. японски йени
bs	USD	short	standard	name	1.2	1,2 američka dolara
bs	USD	short	standard	name	-1230.05	-1,2 hilj. američkih dolara
bs	JPY	short	standard	name	1.2	1,2 japanska jena
bs	JPY	short	standard	name	-1230.05	-1,2 hilj. japanskih jena
ca	USD	short	standard	name	1.2	1,2 dòlars dels Estats Units
ca	USD	short	standard	name	-1230.05	-1,2 k dòlars dels Estats Units
ca	JPY	short	standard	name	1.2	1,2 iens
ca	JPY	short	standard	name	-1230.05	-1,2 k iens
cs	USD	short	standard	name	1.2	1,2 amerického dolaru
cs	USD	short	standard	name	-1230.05	-1,2 tis. amerických dolarů
cs	JPY	short	standard	name	1.2	1,2 japonského jenu
cs	JPY	short	standard	name	-1230.05	-1,2 tis. japonských jenů
cy	USD	short	standard	name	1.2	1.2 doler UDA
cy	USD	short	standard	name	-1230.05	-1.2K doler UDA
cy	JPY	short	standard	name	1.2	1.2 yen Japan
cy	JPY	short	standard	name	-1230.05	-1.2K yen Japan
da	USD	short	standard	name	1.2	1,2 amerikansk dollar
da	USD	short	standard	name	-1230.05	-1,2 t amerikanske dollar
da	JPY	short	standard	name	1.2	1,2 japansk yen
da	JPY	short	standard	name	-1230.05	-1,2 t japanske yen
el	USD	short	standard	name	1.2	1,2 δολάρια ΗΠΑ
el	USD	short	standard	name	-1230.05	-1,2 χιλ. δολάρια ΗΠΑ
el	JPY	short	standard	name	1.2	1,2 γιεν Ιαπωνίας
el	JPY	short	standard	name	-1230.05	-1,2 χιλ. γιεν Ιαπωνίας
en_AU	USD	short	standard	name	1.2	1.2 US dollars
en_AU	USD	short	standard	name	-1230.05	-1.2K US dollars
en_AU	JPY	short	standard	name	1.2	1.2 Japanese yen
en_AU	JPY	short	standard	name	-1230.05	-1.2K Japanese yen
en_CA	USD	short	standard	name	1.2	1.2 US dollars
en_CA	USD	short	standard	name	-1230.05	-1.2K US dollars
en_CA	JPY	short	standard	name	1.2	1.2 Japanese yen
en_CA	JPY	short	standard	name	-1230.05	-1.2K Japanese yen
en_GB	USD	short	standard	name	1.2	1.2 US dollars
en_GB	USD	short	standard	name	-1230.05	-1.2k US dollars
en_GB	JPY	short	standard	name	1.2	1.2 Japanese yen
en_GB	JPY	short	standard	name	-1230.05	-1.2k Japanese yen
en_IN	USD	short	standard	name	1.2	1.2 US dollars
en_IN	USD	short	standard	name	-1230.05	-1.2K US dollars
en_IN	JPY	short	standard	name	1.2	1.2 Japanese yen
en_IN	JPY	short	standard	name	-1230.05	-1.2K Japanese yen
es	USD	short	standard	name	1.2	1,2 dólares estadounidenses
es	USD	short	standard	name	-1230.05	-1,2 mil dólares estadounidenses
es	JPY	short	standard	name	1.2	1,2 yenes japoneses
es	JPY	short	standard	name	-1230.05	-1,2 mil yenes japoneses
es_419	USD	short	standard	name	1.2	1.2 dólares estadounidenses
es_419	USD	short	standard	name	-1230.05	-1.2 K dólares estadounidenses
es_419	JPY	short	standard	name	1.2	1.2 yenes japoneses
es_419	JPY	short	standard	name	-1230.05	-1.2 K yenes japoneses
es_MX	USD	short	standard	name	1.2	1.2 dólares estadounidenses
es_MX	USD	short	standard	name	-1230.05	-1.2 k dólares estadounidenses
es_MX	JPY	short	standard	name	1.2	1.2 yenes japoneses
es_MX	JPY	short	standard	name	-1230.05	-1.2 k yenes japoneses
es_US	USD	short	standard	name	1.2	1.2 dólares estadounidenses
es_US	USD	short	standard	name	-1230.05	-1.2 K dólares estadounidenses
es_US	JPY	short	standard	name	1.2	1.2 yenes japoneses
es_US	JPY	short	standard	name	-1230.05	-1.2 K yenes japoneses
et	USD	short	standard	name	1.2	1,2 USA dollarit
et	USD	short	standard	name	-1230.05	−1,2 tuh USA dollarit
et	JPY	short	standard	name	1.2	1,2 Jaapani jeeni
et	JPY	short	standard	name	-1230.05	−1,2 tuh Jaapani jeeni
eu	USD	short	standard	name	1.2	1,2 dolar estatubatuar
eu	USD	short	standard	name	-1230.05	−1230 dolar estatubatuar
eu	JPY	short	standard	name	1.2	1,2 yen japoniar
eu	JPY	short	standard	name	-1230.05	−1230 yen japoniar
fa	USD	short	standard	name	1.2	۱٫۲ دلار آمریکا
fa	USD	short	standard	name	-1230.05	‎−۱٫۲ هزار دلار آمریکا
fa	JPY	short	standard	name	1.2	۱٫۲ ین ژاپن
fa	JPY	short	standard	name	-1230.05	‎−۱٫۲ هزار ین ژاپن
fi	USD	short	standard	name	1.2	1,2 Yhdysvaltain dollaria
fi	USD	short	standard	name	-1230.05	−1,2 t. Yhdysvaltain dollaria
fi	JPY	short	standard	name	1.2	1,2 Japanin jeniä
fi	JPY	short	standard	name	-1230.05	−1,2 t. Japanin jeniä
fil	USD	short	standard	name	1.2	1.2 dolyar ng US
fil	USD	short	standard	name	-1230.05	-1.2K dolyar ng US
fil	JPY	short	standard	name	1.2	1.2 Japanese yen
fil	JPY	short	standard	name	-1230.05	-1.2K Japanese yen
fr	USD	short	standard	name	1.2	1,2 dollar des États-Unis
fr	USD	short	standard	name	-1230.05	-1,2 k dollars des États-Unis
fr	JPY	short	standard	name	1.2	1,2 yen japonais
fr	JPY	short	standard	name	-1230.05	-1,2 k yens japonais
fr_CA	USD	short	standard	name	1.2	1,2 dollar des États-Unis
fr_CA	USD	short	standard	name	-1230.05	-1,2 k dollars des États-Unis
fr_CA	JPY	short	standard	name	1.2	1,2 yen japonais
fr_CA	JPY	short	standard	name	-1230.05	-1,2 k yens japonais
ga	USD	short	standard	name	1.2	1.2 dollar S.A.M.
ga	USD	short	standard	name	-1230.05	-1.2k dollar S.A.M.
