# locale	currency	currency_format_length	currency_format_type	currency_display	input	expected
ar	AED	standard	accounting	noCurrency	0.0	؜0.00
ar	AED	standard	accounting	noCurrency	1.2	؜1.20
ar	AED	standard	accounting	noCurrency	0.00831765	؜0.01
ar	AED	standard	accounting	noCurrency	1234565.0	؜1,234,565.00
ar	AED	standard	accounting	noCurrency	-1230.05	(؜1,230.05)
ar	AFN	standard	accounting	noCurrency	0.0	؜0
ar	AFN	standard	accounting	noCurrency	1.2	؜1
ar	AFN	standard	accounting	noCurrency	0.00831765	؜0
ar	AFN	standard	accounting	noCurrency	1234565.0	؜1,234,565
ar	AFN	standard	accounting	noCurrency	-1230.05	(؜1,230)
ar	ALL	standard	accounting	noCurrency	0.0	؜0
ar	ALL	standard	accounting	noCurrency	1.2	؜1
ar	ALL	standard	accounting	noCurrency	0.00831765	؜0
ar	ALL	standard	accounting	noCurrency	1234565.0	؜1,234,565
ar	ALL	standard	accounting	noCurrency	-1230.05	(؜1,230)
ar	AMD	standard	accounting	noCurrency	0.0	؜0.00
ar	AMD	standard	accounting	noCurrency	1.2	؜1.20
ar	AMD	standard	accounting	noCurrency	0.00831765	؜0.01
ar	AMD	standard	accounting	noCurrency	1234565.0	؜1,234,565.00
ar	AMD	standard	accounting	noCurrency	-1230.05	(؜1,230.05)
ar	AOA	standard	accounting	noCurrency	0.0	؜0.00
ar	AOA	standard	accounting	noCurrency	1.2	؜1.20
ar	AOA	standard	accounting	noCurrency	0.00831765	؜0.01
ar	AOA	standard	accounting	noCurrency	1234565.0	؜1,234,565.00
ar	AOA	standard	accounting	noCurrency	-1230.05	(؜1,230.05)
ar	ARS	standard	accounting	noCurrency	0.0	؜0.00
ar	ARS	standard	accounting	noCurrency	1.2	؜1.20
ar	ARS	standard	accounting	noCurrency	0.00831765	؜0.01
ar	ARS	standard	accounting	noCurrency	1234565.0	؜1,234,565.00
ar	ARS	standard	accounting	noCurrency	-1230.05	(؜1,230.05)
ar	AUD	standard	accounting	noCurrency	0.0	؜0.00
ar	AUD	standard	accounting	noCurrency	1.2	؜1.20
ar	AUD	standard	accounting	noCurrency	0.00831765	؜0.01
ar	AUD	standard	accounting	noCurrency	1234565.0	؜1,234,565.00
ar	AUD	standard	accounting	noCurrency	-1230.05	(؜1,230.05)
ar	AWG	standard	accounting	noCurrency	0.0	؜0.00
ar	AWG	standard	accounting	noCurrency	1.2	؜1.20
ar	AWG	standard	accounting	noCurrency	0.00831765	؜0.01
ar	AWG	standard	accounting	noCurrency	1234565.0	؜1,234,565.00
ar	AWG	standard	accounting	noCurrency	-1230.05	(؜1,230.05)
ar	AZN	standard	accounting	noCurrency	0.0	؜0.00
ar	AZN	standard	accounting	noCurrency	1.2	؜1.20
ar	AZN	standard	accounting	noCurrency	0.00831765	؜0.01
ar	AZN	standard	accounting	noCurrency	1234565.0	؜1,234,565.00
ar	AZN	standard	accounting	noCurrency	-1230.05	(؜1,230.05)
ar	BAM	standard	accounting	noCurrency	0.0	؜0.00
ar	BAM	standard	accounting	noCurrency	1.2	؜1.20
ar	BAM	standard	accounting	noCurrency	0.00831765	؜0.01
ar	BAM	standard	accounting	noCurrency	1234565.0	؜1,234,565.00
ar	BAM	standard	accounting	noCurrency	-1230.05	(؜1,230.05)
ar	BBD	standard	accounting	noCurrency	0.0	؜0.00
ar	BBD	standard	accounting	noCurrency	1.2	؜1.20
ar	BBD	standard	accounting	noCurrency	0.00831765	؜0.01
ar	BBD	standard	accounting	noCurrency	1234565.0	؜1,234,565.00
ar	BBD	standard	accounting	noCurrency	-1230.05	(؜1,230.05)
ar	BDT	standard	accounting	noCurrency	0.0	؜0.00
ar	BDT	standard	accounting	noCurrency	1.2	؜1.20
ar	BDT	standard	accounting	noCurrency	0.00831765	؜0.01
ar	BDT	standard	accounting	noCurrency	1234565.0	؜1,234,565.00
ar	BDT	standard	accounting	noCurrency	-1230.05	(؜1,230.05)
ar	BHD	standard	accounting	noCurrency	0.0	؜0.000
ar	BHD	standard	accounting	noCurrency	1.2	؜1.200
ar	BHD	standard	accounting	noCurrency	0.00831765	؜0.008
ar	BHD	standard	accounting	noCurrency	1234565.0	؜1,234,565.000
