locale	number_format	compact_length	currency_length	currency	input	expected
ar	compact-currency	long	iso-code	USD	-5.0E12	‎-‏5 ترليون USD
ar	compact-currency	long	iso-code	USD	-1.5E12	‎-‏1.5 ترليون USD
ar	compact-currency	long	iso-code	USD	-1.0E12	‎-‏1 ترليون USD
ar	compact-currency	long	iso-code	USD	-5.0E11	‎-‏500 مليار USD
ar	compact-currency	long	iso-code	USD	-1.5E11	‎-‏150 مليار USD
ar	compact-currency	long	iso-code	USD	-1.0E11	‎-‏100 مليار USD
ar	compact-currency	long	iso-code	USD	-5.0E10	‎-‏50 مليار USD
ar	compact-currency	long	iso-code	USD	-1.5E10	‎-‏15 مليار USD
ar	compact-currency	long	iso-code	USD	-1.0E10	‎-‏10 مليار USD
ar	compact-currency	long	iso-code	USD	-5.0E9	‎-‏5 مليار USD
ar	compact-currency	long	iso-code	USD	-1.5E9	‎-‏1.5 مليار USD
ar	compact-currency	long	iso-code	USD	-1.0E9	‎-‏1 مليار USD
ar	compact-currency	long	iso-code	USD	-5.0E8	‎-‏500 مليون USD
ar	compact-currency	long	iso-code	USD	-1.5E8	‎-‏150 مليون USD
ar	compact-currency	long	iso-code	USD	-1.0E8	‎-‏100 مليون USD
ar	compact-currency	long	iso-code	USD	-5.0E7	‎-‏50 مليون USD
ar	compact-currency	long	iso-code	USD	-1.5E7	‎-‏15 مليون USD
ar	compact-currency	long	iso-code	USD	-1.0E7	‎-‏10 مليون USD
ar	compact-currency	long	iso-code	USD	-5000000.0	‎-‏5 مليون USD
ar	compact-currency	long	iso-code	USD	-1500000.0	‎-‏1.5 مليون USD
ar	compact-currency	long	iso-code	USD	-1234567.0	‎-‏1.2 مليون USD
ar	compact-currency	long	iso-code	USD	-1234565.0	‎-‏1.2 مليون USD
ar	compact-currency	long	iso-code	USD	-1000000.0	‎-‏1 مليون USD
ar	compact-currency	long	iso-code	USD	-999999.9	‎-‏1 مليون USD
ar	compact-currency	long	iso-code	USD	-500000.0	‎-‏500 ألف USD
ar	compact-currency	long	iso-code	USD	-150000.0	‎-‏150 ألف USD
ar	compact-currency	long	iso-code	USD	-100000.0	‎-‏100 ألف USD
ar	compact-currency	long	iso-code	USD	-50000.0	‎-‏50 ألف USD
ar	compact-currency	long	iso-code	USD	-15000.0	‎-‏15 ألف USD
ar	compact-currency	long	iso-code	USD	-10000.0	‎-‏10 ألف USD
ar	compact-currency	long	iso-code	USD	-5000.0	‎-‏5 آلاف USD
ar	compact-currency	long	iso-code	USD	-1500.0	‎-‏1.5 ألف USD
ar	compact-currency	long	iso-code	USD	-1234.56	‎-‏1.2 ألف USD
ar	compact-currency	long	iso-code	USD	-1000.0	‎-‏1 ألف USD
ar	compact-currency	long	iso-code	USD	-999.9	‎-‏1 ألف USD
ar	compact-currency	long	iso-code	USD	-500.0	‏‎-500 USD
ar	compact-currency	long	iso-code	USD	-150.0	‏‎-150 USD
ar	compact-currency	long	iso-code	USD	-123.0	‏‎-123 USD
ar	compact-currency	long	iso-code	USD	-100.0	‏‎-100 USD
ar	compact-currency	long	iso-code	USD	-50.0	‏‎-50 USD
ar	compact-currency	long	iso-code	USD	-15.0	‏‎-15 USD
ar	compact-currency	long	iso-code	USD	-12.0	‏‎-12 USD
ar	compact-currency	long	iso-code	USD	-10.0	‏‎-10 USD
ar	compact-currency	long	iso-code	USD	-5.0	‏‎-5 USD
ar	compact-currency	long	iso-code	USD	-3.5	‏‎-3.5 USD
ar	compact-currency	long	iso-code	USD	-2.5	‏‎-2.5 USD
ar	compact-currency	long	iso-code	USD	-1.5	‏‎-1.5 USD
ar	compact-currency	long	iso-code	USD	-1.2	‏‎-1.2 USD
ar	compact-currency	long	iso-code	USD	-1.0	‏‎-1 USD
ar	compact-currency	long	iso-code	USD	-0.5	‏‎-0.5 USD
ar	compact-currency	long	iso-code	USD	-0.15000000000000002	‏‎-0.15 USD
ar	compact-currency	long	iso-code	USD	-0.135	‏‎-0.14 USD
ar	compact-currency	long	iso-code	USD	-0.125	‏‎-0.12 USD
ar	compact-currency	long	iso-code	USD	-0.1	‏‎-0.1 USD
ar	compact-currency	long	iso-code	USD	-0.05	‏‎-0.05 USD
ar	compact-currency	long	iso-code	USD	-0.015	‏‎-0.015 USD
ar	compact-currency	long	iso-code	USD	-0.01	‏‎-0.01 USD
ar	compact-currency	long	iso-code	USD	-0.00831765	‏‎-0.0083 USD
ar	compact-currency	long	iso-code	USD	-0.005	‏‎-0.005 USD
ar	compact-currency	long	iso-code	USD	-0.0015	‏‎-0.0015 USD
ar	compact-currency	long	iso-code	USD	-0.001	‏‎-0.001 USD
ar	compact-currency	long	iso-code	USD	-5.0E-4	‏‎-0.0005 USD
ar	compact-currency	long	iso-code	USD	-1.5000000000000001E-4	‏‎-0.00015 USD
ar	compact-currency	long	iso-code	USD	-1.23E-4	‏‎-0.00012 USD
