locale	number_format	format_length	input	expected
ar	decimal		0.0	0
ar	decimal		1.2	1.2
ar	decimal		0.00831765	0.008318
ar	decimal		1234565.0	1,234,565
ar	decimal		-1230.05	‎-1,230.05
ar	percent		0.0	0‎%‎
ar	percent		1.2	120‎%‎
ar	percent		0.00831765	0.831765‎%‎
ar	percent		1234565.0	123,456,500‎%‎
ar	percent		-1230.05	‎-123,005‎%‎
ar	scientific		0.0	0E0
ar	scientific		1.2	1.2E0
ar	scientific		0.00831765	8.31765E‎-3
ar	scientific		1234565.0	1.234565E6
ar	scientific		-1230.05	‎-1.23005E3
ar	decimal	short	0.0	0
ar	decimal	short	1.2	1.2
ar	decimal	short	0.00831765	0.0083
ar	decimal	short	1234565.0	1.2 مليون
ar	decimal	short	-1230.05	‎-1.2 ألف
ar	decimal	long	0.0	0
ar	decimal	long	1.2	1.2
ar	decimal	long	0.00831765	0.0083
ar	decimal	long	1234565.0	1.2 مليون
ar	decimal	long	-1230.05	‎-1.2 ألف
ar_EG	decimal		0.0	٠
ar_EG	decimal		1.2	١٫٢
ar_EG	decimal		0.00831765	٠٫٠٠٨٣١٨
ar_EG	decimal		1234565.0	١٬٢٣٤٬٥٦٥
ar_EG	decimal		-1230.05	؜-١٬٢٣٠٫٠٥
ar_EG	percent		0.0	٠٪؜
ar_EG	percent		1.2	١٢٠٪؜
ar_EG	percent		0.00831765	٠٫٨٣١٧٦٥٪؜
ar_EG	percent		1234565.0	١٢٣٬٤٥٦٬٥٠٠٪؜
ar_EG	percent		-1230.05	؜-١٢٣٬٠٠٥٪؜
ar_EG	scientific		0.0	٠أس٠
ar_EG	scientific		1.2	١٫٢أس٠
ar_EG	scientific		0.00831765	٨٫٣١٧٦٥أس؜-٣
ar_EG	scientific		1234565.0	١٫٢٣٤٥٦٥أس٦
ar_EG	scientific		-1230.05	؜-١٫٢٣٠٠٥أس٣
ar_EG	decimal	short	0.0	٠
ar_EG	decimal	short	1.2	١٫٢
ar_EG	decimal	short	0.00831765	٠٫٠٠٨٣
ar_EG	decimal	short	1234565.0	١٫٢ مليون
ar_EG	decimal	short	-1230.05	؜-١٫٢ ألف
ar_EG	decimal	long	0.0	٠
ar_EG	decimal	long	1.2	١٫٢
ar_EG	decimal	long	0.00831765	٠٫٠٠٨٣
ar_EG	decimal	long	1234565.0	١٫٢ مليون
ar_EG	decimal	long	-1230.05	؜-١٫٢ ألف
bn	decimal		0.0	০
bn	decimal		1.2	১.২
bn	decimal		0.00831765	০.০০৮৩১৮
bn	decimal		1234565.0	১২,৩৪,৫৬৫
bn	decimal		-1230.05	-১,২৩০.০৫
bn	percent		0.0	০%
bn	percent		1.2	১২০%
bn	percent		0.00831765	০.৮৩১৭৬৫%
bn	percent		1234565.0	১২৩,৪৫৬,৫০০%
bn	percent		-1230.05	-১২৩,০০৫%
bn	scientific		0.0	০E০
bn	scientific		1.2	১.২E০
bn	scientific		0.00831765	৮.৩১৭৬৫E-৩
bn	scientific		1234565.0	১.২৩৪৫৬৫E৬
bn	scientific		-1230.05	-১.২৩০০৫E৩
bn	decimal	short	0.0	০
bn	decimal	short	1.2	১.২
bn	decimal	short	0.00831765	০.০০৮৩
bn	decimal	short	1234565.0	১২ লা
bn	decimal	short	-1230.05	-১.২ হা
bn	decimal	long	0.0	০
bn	decimal	long	1.2	১.২
bn	decimal	long	0.00831765	০.০০৮৩
bn	decimal	long	1234565.0	১২ লাখ
