# Producing single letter transliterations, some with lengtheners
ạ	𞤢𞥈
Ạ	𞤀𞥈
ẒẒ	𞤔𞥆𞥆
Ẓ	𞤔𞥊
ṭ	𞤼𞥈
ṬṬ	𞤚𞥉
Ṭ	𞤚𞥈
ṣ	𞤧𞥈
ṢṢ	𞤅𞥉
Ṣ	𞤅𞥈
ḥ	𞤸𞥈
ḤḤ	𞤖𞥉
Ḥ	𞤖𞥈
ḍ	𞤣𞥈
ḌḌ	𞤁𞥉
Ḍ	𞤁𞥈
ɗɗ	𞤯𞥆
Ɓ	𞤇
ƁƁ	𞤇𞥆
ɓɓ	𞤩𞥆
ɓ	𞤩
ƴƴ	𞤰𞥆
ƐƐ	𞤉𞥊𞥅
Ɛ	𞤉𞥊
Ɗ	𞤍
ƆƆ	𞤌𞥊𞥅
Ɔ	𞤌𞥊
ŋŋ	𞤽𞥆
ŋ	𞤽
Ŋŋ	𞤛𞥆
Ŋ	𞤛
ñ	𞤻
Ñ	𞤙
zz	𞥁𞥆
z	𞥁
yy	𞤴𞥆
y	𞤴
ww	𞤱𞥆
vv	𞤾𞥆
v	𞤾
u	𞤵
uu	𞤵𞥅
tt	𞤼𞥆
t	𞤼
ssh	𞥃𞥆
ss	𞤧𞥆
sh	𞥃
s	𞤧
rr	𞤪𞥆
r	𞤪
qq	𞤹𞥆
q	𞤹
pp	𞤨𞥆
p	𞤨
oo	𞤮𞥅
o	𞤮
nn	𞤲𞥆
N	𞤐
n	𞤲
mm	𞤥𞥆
m	𞤥
ll	𞤤𞥆
l	𞤤
kp	𞥂
kkp	𞥂𞥆
kkh	𞤿𞥆
kk	𞤳𞥆
kh	𞤿
jj	𞤶𞥆
hh	𞤸𞥆
h	𞤸
g̣	𞤺𞥈
ggb	𞥀𞥆
gg	𞤺𞥆
gb	𞥀
g	𞤺
ff	𞤬𞥆
e	𞤫
ee	𞤫𞥅
dd	𞤣𞥆
d	𞤣
cc	𞤭𞥆
c	𞤷
bb	𞤦𞥆
b	𞤦
aa	𞤢𞥄
a	𞤢
Zz	𞤟𞥆
Z	𞤟
Yy	𞤒𞥆
Y	𞤒
Ww	𞤏𞥆
Vv	𞤜𞥆
V	𞤜
U	𞤓
Uu	𞤓𞥅
Tt	𞤚𞥆
TTH	𞤅𞥈𞥆
TH	𞤅𞥊
T	𞤚
Ssh	𞤡𞥆
Ss	𞤅𞥆
SH	𞤡
S	𞤅
R	𞤈
RR	𞤪𞥇
Rr	𞤈𞥇
Qq	𞤗𞥆
Q	𞤗
Pp	𞤆𞥆
P	𞤆
Oo	𞤌𞥅
O	𞤌
# Doubled nasals
nnd	𞤲𞤣
NND	𞤐𞤁
mmb	𞤲𞤦
MMB	𞤐𞤄
nnj	𞤲𞤶
NNJ	𞤐𞤔
nng	𞤲𞤺
NNG	𞤐𞤘
# Nasalized in initial position - no nyondal
nj	𞤲𞤶
Nj	𞤐𞤶
NJ	𞤐𞤔
ng	𞤲𞤺
Ng	𞤐𞤺
NG	𞤐𞤘
ND	𞤐𞤁
Nd	𞤐𞤣
nd	𞤲𞤣
a nj	𞤢 𞤲𞤶
a Nj	𞤢 𞤐𞤶
a NJ	𞤢 𞤐𞤔
a ng	𞤢 𞤲𞤺
a Ng	𞤢 𞤐𞤺
a NG	𞤢 𞤐𞤘
a ND	𞤢 𞤐𞤁
a Nd	𞤢 𞤐𞤣
a nd	𞤢 𞤲𞤣
MB	𞤐𞤄
Mb	𞤐𞤦
mb	𞤲𞤦
NN	𞤐𞥆
Nn	𞤐𞥆
Mmb	𞤐𞤦
Mm	𞤃𞥆
# Non-initial positions with short vowel. Include nyondal in the nasalization
anj	𞤢𞤲𞥋𞤶
aNj	𞤢𞤐𞥋𞤶
aNJ	𞤢𞤐𞥋𞤔
ang	𞤢𞤲𞥋𞤺
aNg	𞤢𞤐𞥋𞤺
aNG	𞤢𞤐𞥋𞤘
aND	𞤢𞤐𞥋𞤁
aNd	𞤢𞤐𞥋𞤣
and	𞤢𞤲𞥋𞤣
aMB	𞤢𞤐𞥋𞤄
aMb	𞤢𞤐𞥋𞤦
amb	𞤢𞤲𞥋𞤦
AMB	𞤀𞤐𞥋𞤄
AND	𞤀𞤐𞥋𞤁
ANG	𞤀𞤐𞥋𞤘
ANJ	𞤀𞤐𞥋𞤔
# Tests for long vowel before nd, mb, nj, ng --> no nyondal
AAMB	𞤀𞥄𞤐𞤄
AAND	𞤀𞥄𞤐𞤁
AANG	𞤀𞥄𞤐𞤘
AANJ	𞤀𞥄𞤐𞤔
aamb	𞤢𞥄𞤲𞤦
aand	𞤢𞥄𞤲𞤣
aang	𞤢𞥄𞤲𞤺
aanj	𞤢𞥄𞤲𞤶
# Single and multi-letter conversions
M	𞤃
Ll	𞤂𞥆
L	𞤂
Kkp	𞤠𞥆
Kkh	𞤝𞥆
Kk	𞤑𞥆
KP	𞤠
KH	𞤝
J̣	𞤔𞥈
j	𞤶
j	𞤶
jj	𞤶𞥆
Jj	𞤔𞥆
JJ	𞤔𞥆
J	𞤔
II	𞤋𞥅
Ii	𞤋𞥅
ii	𞤭𞥅
i	𞤭
I	𞤋
Hh	𞤖𞥆
H	𞤖
G̣G̣	𞤘𞥉
G̣	𞤘𞥈
Ggb	𞤞𞥆
Gg	𞤘𞥆
GB	𞤞
G	𞤘
FF	𞤊𞥆
Ee	𞤉𞥅
E	𞤉
Dd	𞤁𞥆
D	𞤁
Cc	𞤋𞥆
C	𞤕
BB	𞤄𞥆
Bb	𞤄𞥆
B	𞤄
AA	𞤀𞥄
A	𞤀
o’o	𞤮𞤮
O’o	𞤌𞤮
A’A	𞤀𞤀
A’a	𞤀𞤢
a’a	𞤢𞤢
ÑÑ	𞤙𞥆
Ññ	𞤙𞥆
ññ	𞤻𞥆
ẓ	𞤶𞥊
Ẓẓ	𞤔𞥆𞥆
ẓẓ	𞤶𞥆𞥆
