adoloig	ædɔlɔig
age	ægɛ
aig	æig
bal	bæl
baldoc	bældɔʔ
bulik	bulik
cabi	ʔæbi
caja	ʔæjæ
cajimei	ʔæjimɛi
cunug	ʔunug
dana	dænæ
ebenagana	ɛbɛnægænæ
ebenegana	ɛbɛnɛgænæ
ehadi	ɛhædi
ehinui	ɛhinui
gabalacna	gæbælæʔnæ
gabanadi	gæbænædi
gabandocobil	gæbændɔʔɔbil
gadac	gædæʔ
gale	gælɛ
golanaga	gɔlænægæ
haiden	hæidɛn
hewimeig	hɛwimɛig
hofajal	hɔfæjæl
ija	ijæ
ijanna	ijænnæ
jeh	jɛh
jeheqagan	jɛhɛg͜bægæn
lacbaja	læʔbæjæ
licdocob	liʔdɔʔɔb
maha	mæhæ
mamadi	mæmædi
man	mæn
meca	mɛʔæ
mede	mɛdɛ
mega	mɛgæ
mele	mɛlɛ
mi	mi
miadigina	miædiginæ
migina	miginæ
mihedumeig	mihɛdumɛig
mim	mim
muduqagan	mudug͜bægæn
mumusi	mumusi
nuia	nuiæ
odi	ɔdi
odoin	ɔdɔin
oqagan	ɔg͜bægæn
oqagannu	ɔg͜bægænnu
osol	ɔsɔl
qali	g͜bæli
qasil	g͜bæsil
qee	g͜bɛɛ
qeen	g͜bɛɛn
qetec	g͜bɛtɛʔ
qu	g͜bu
saenna	sæɛnnæ
saigen	sæigɛn
saqocnu	sæg͜bɔʔnu
sigin	sigin
silileceb	sililɛʔɛb
sononec	sɔnɔnɛʔ
suli	suli
susum	susum
taula	tæulæ
tibud	tibud
unanen	unænɛn
unani	unæni
unanoloi	unænɔlɔi
uqa	ug͜bæ
waidugun	wæidugun
walagdadanen	wælægdædænɛn
wanam	wænæm
wele	wɛlɛ
wij	wij
