ሁለቱም	huletum
ሁሉ	hulu
ሁሉም	hulum
ሁኔታ	hunéta
ሁኔታዎችና	hunétawotshna
ሃይማኖቱን	haymanotun
ሃይማኖት	haymanot
ሆነ	hone
ሆኖ	hono
ለሁሉም	lehulum
ለልጆቻቸው	leljotshatshew
ለመሆን	lemehon
ለመምረጥ	lememreth
ለመሥራት	lemesrat
ለመሳተፍ	lemesatef
ለመስጠት	lemesthet
ለመከላከያው	lemekelakeyaw
ለመጠቀም	lemetheqem
ለመጠበቅ	lemethebeq
ለመፈጸም	lemefetsem
ለሚደረግባቸው	lemideregbatshew
ለማርካት	lemarkat
ለማሰከበር	lemasekeber
ለማስተማር	lemastemar
ለማስከበር	lemaskeber
ለማቋቋምና	lemaqwaqwamna
ለማበላሸት	lemabelashet
ለማንኛውም	lemannawm
ለማዋል	lemawal
ለማድረግ	lemadreg
ለማግኘት	lemagnet
ለሥራም	lesram
ለሰብዓዊ	lesebcawi
ለቤተሰቡ	lebétesebu
ለአንድ	leand
ለእራሱና	leerasuna
ለእያንዳንዱ	leeyandandu
ለክብሩና	lekbruna
ሊሆን	lihon
ሊያገለግል	liyagelegl
ሊፈጸሙ	lifetsemu
ላይ	lay
ሌላውን	lélawn
ልብስ	lbs
ልዩ	lyu
ልዩነት	lyunet
ልዩነትም	lyunetm
ልጅ	lj
ሐሳቡን	xesabun
ሐሳቦችን	xesabotshn
ሕሊና	xlina
ሕክምና	xkmna
ሕዝብ	xzb
ሕዝቦች	xzbotsh
ሕጉ	xgu
ሕግ	xg
ሕጎችና	xgotshna
ሕጻናትም	xtsanatm
ሕጻንነት	xtsannet
መሆኑ	mehonu
መሆን	mehon
መመልከት	memelket
መማር	memar
መሠረቱ	meseretu
መሠረታዊ	meseretawi
መሠረት	meseret
መሰረታዊ	meseretawi
መሰረት	meseret
መሰናከል	mesenakel
መሰጠት	mesethet
መስጠት	mesthet
መሻሻል	meshashal
መብት	mebt
መብቶች	mebtotsh
መብቶችም	mebtotshm
መብቶችና	mebtotshna
መብቶችንና	mebtotshnna
መተባበር	metebaber
መንገድ	menged
መንግሥታት	mengstat
መንግሥት	mengst
