child	parent
http://www.wikidata.org/entity/Q68456	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q1400216	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q1473289	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q2075394	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q2423700	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q3083193	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q3083199	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q3083202	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q3083218	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q3100376	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q3512668	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q5025153	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q5492617	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q6487768	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q7400564	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q13637673	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q17004144	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q17056078	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q18356225	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q21296634	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q21427314	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q22249359	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q28818299	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q33670660	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q48746093	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q55610541	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q56317836	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q81846138	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q102098497	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q102098874	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q102156535	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q102183245	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q102189047	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q102230040	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q105309833	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q105359336	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q105365338	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q105376562	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q105396464	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q3562711	http://www.wikidata.org/entity/Q256
http://www.wikidata.org/entity/Q7083390	http://www.wikidata.org/entity/Q256
http://www.wikidata.org/entity/Q7917392	http://www.wikidata.org/entity/Q256
http://www.wikidata.org/entity/Q25473972	http://www.wikidata.org/entity/Q256
http://www.wikidata.org/entity/Q36730	http://www.wikidata.org/entity/Q256
http://www.wikidata.org/entity/Q26708543	http://www.wikidata.org/entity/Q294
http://www.wikidata.org/entity/Q306626	http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q315257	http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q896917	http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q1187121	http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q1187121	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q1366643	http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q1572989	http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q2107464	http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q2147820	http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q2306552	http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q4126560	http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q4958736	http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q6597928	http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q17427202	http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q28502971	http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q55523846	http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q64427341	http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q35031	http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q35759	http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q253854	http://www.wikidata.org/entity/Q397
http://www.wikidata.org/entity/Q499083	http://www.wikidata.org/entity/Q397
http://www.wikidata.org/entity/Q1163234	http://www.wikidata.org/entity/Q397
http://www.wikidata.org/entity/Q1215876	http://www.wikidata.org/entity/Q397
http://www.wikidata.org/entity/Q1215876	http://www.wikidata.org/entity/Q1097949
http://www.wikidata.org/entity/Q1246397	http://www.wikidata.org/entity/Q397
http://www.wikidata.org/entity/Q1247932	http://www.wikidata.org/entity/Q397
http://www.wikidata.org/entity/Q1248221	http://www.wikidata.org/entity/Q397
http://www.wikidata.org/entity/Q1503113	http://www.wikidata.org/entity/Q397
http://www.wikidata.org/entity/Q2055026	http://www.wikidata.org/entity/Q397
http://www.wikidata.org/entity/Q14189121	http://www.wikidata.org/entity/Q397
http://www.wikidata.org/entity/Q17078078	http://www.wikidata.org/entity/Q397
http://www.wikidata.org/entity/Q12289	http://www.wikidata.org/entity/Q397
http://www.wikidata.org/entity/Q37560	http://www.wikidata.org/entity/Q397
http://www.wikidata.org/entity/Q361709	http://www.wikidata.org/entity/Q809
http://www.wikidata.org/entity/Q452889	http://www.wikidata.org/entity/Q809
http://www.wikidata.org/entity/Q489691	http://www.wikidata.org/entity/Q809
http://www.wikidata.org/entity/Q669048	http://www.wikidata.org/entity/Q809
http://www.wikidata.org/entity/Q1751887	http://www.wikidata.org/entity/Q809
http://www.wikidata.org/entity/Q9283005	http://www.wikidata.org/entity/Q809
http://www.wikidata.org/entity/Q9283047	http://www.wikidata.org/entity/Q809
http://www.wikidata.org/entity/Q672147	http://www.wikidata.org/entity/Q652
http://www.wikidata.org/entity/Q918012	http://www.wikidata.org/entity/Q652
http://www.wikidata.org/entity/Q1098467	http://www.wikidata.org/entity/Q652
http://www.wikidata.org/entity/Q1990745	http://www.wikidata.org/entity/Q652
http://www.wikidata.org/entity/Q820569	http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q1401612	http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q1572128	http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q2655227	http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q2655227	http://www.wikidata.org/entity/Q19682167
http://www.wikidata.org/entity/Q3058369	http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q5840038	http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q5840041	http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q5840069	http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q7162990	http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q13048655	http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q13048655	http://www.wikidata.org/entity/Q2736184
http://www.wikidata.org/entity/Q21074990	http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q64427343	http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q3632376	http://www.wikidata.org/entity/Q1568
http://www.wikidata.org/entity/Q3636943	http://www.wikidata.org/entity/Q1568
http://www.wikidata.org/entity/Q3747518	http://www.wikidata.org/entity/Q1568
http://www.wikidata.org/entity/Q4916528	http://www.wikidata.org/entity/Q1568
http://www.wikidata.org/entity/Q5638398	http://www.wikidata.org/entity/Q1568
http://www.wikidata.org/entity/Q13211705	http://www.wikidata.org/entity/Q1617
http://www.wikidata.org/entity/Q19844976	http://www.wikidata.org/entity/Q1617
http://www.wikidata.org/entity/Q19898980	http://www.wikidata.org/entity/Q1617
http://www.wikidata.org/entity/Q97221242	http://www.wikidata.org/entity/Q1617
http://www.wikidata.org/entity/Q165795	http://www.wikidata.org/entity/Q1412
http://www.wikidata.org/entity/Q1280059	http://www.wikidata.org/entity/Q1412
http://www.wikidata.org/entity/Q1424118	http://www.wikidata.org/entity/Q1412
http://www.wikidata.org/entity/Q1939996	http://www.wikidata.org/entity/Q1412
http://www.wikidata.org/entity/Q2072879	http://www.wikidata.org/entity/Q1412
http://www.wikidata.org/entity/Q5147578	http://www.wikidata.org/entity/Q1412
http://www.wikidata.org/entity/Q10685841	http://www.wikidata.org/entity/Q1412
http://www.wikidata.org/entity/Q11901764	http://www.wikidata.org/entity/Q1412
http://www.wikidata.org/entity/Q18662748	http://www.wikidata.org/entity/Q1412
http://www.wikidata.org/entity/Q18691232	http://www.wikidata.org/entity/Q1412
http://www.wikidata.org/entity/Q18691260	http://www.wikidata.org/entity/Q1412
http://www.wikidata.org/entity/Q27965095	http://www.wikidata.org/entity/Q1412
http://www.wikidata.org/entity/Q65238743	http://www.wikidata.org/entity/Q1412
http://www.wikidata.org/entity/Q13357	http://www.wikidata.org/entity/Q1412
http://www.wikidata.org/entity/Q130192	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q603200	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q646536	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q665624	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q751065	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q939451	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q1068863	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q1156228	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q1232847	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q1342549	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q1374908	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q1394359	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q1413694	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q1454599	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q1546608	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q1553250	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q1875673	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q2431653	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q2431653	http://www.wikidata.org/entity/Q7411
http://www.wikidata.org/entity/Q2849611	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q2849614	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q2849615	http://www.wikidata.org/entity/Q1860
