і	i
на	na
права	prava
ў	ŭ
чалавек	chalavyek
Артыкул	Artykul
або	abo
мае	maye
Кожны	Kozhny
яго	yaho
што	шto
у	u
не	nye
правоў	pravoŭ
быць	bytsʹ
да	da
для	dlya
павінна	pavinna
свабоду	svabodu
ад	ad
пры	pry
чалавека	chalavyeka
з	z
свабод	svabod
пад	pad
увагу	uvahu
як	yak
якія	yakiya
павінны	pavinny
Арганізацыі	Arhanizatsyi
іх	ikh
прымаючы	prymayuchy
можа	mozha
Абʼяднаных	Abʼyadnanykh
Нацый	Natsyй
садзейнічаць	sadzyeйnichatsʹ
час	chas
гэта	heta
Ніхто	Nikhto
па	pa
без	byez
ні	ni
павінен	pavinyen
якім	yakim
сваю	svayu
грамадства	hramadstva
было	bylo
перакананняў	pyerakanannyaŭ
іншых	inшykh
гэтых	hetykh
гэтай	hetaй
зʼяўляецца	zʼyaŭlyayetstsa
людзі	lyudzi
таго	taho
Усе	Usye
маюць	mayutsʹ
роўную	roŭnuyu
адрознення	adroznyennya
сваіх	svaikh
сваёй	svayëй
Дэкларацыі	Deklaratsyi
асобы	asoby
шляхам	шlyakham
якой	yakoй
дзяржавы	dzyarzhavy
каб	kab
карыстацца	karystatstsa
гэту	hetu
асноўных	asnoŭnykh
над	nad
абарону	abaronu
так	tak
там	tam
свабодна	svabodna
уключаючы	uklyuchayuchy
годнасці	hodnastsi
падставе	padstavye
Адукацыя	Adukatsyya
які	yaki
ўчыняцца	ŭchynyatstsa
кожны	kozhny
якой‐небудзь	yakoй‐nyebudzʹ
нацыянальных	natsyyanalʹnykh
кім	kim
за	za
злачынства	zlachynstva
правы	pravy
ахову	akhovu
яму	yamu
Ні	Ni
сямʼі	syamʼi
ўсе	ŭsye
дапамозе	dapamozye
адукацыя	adukatsyya
адукацыі	adukatsyi
закону	zakonu
грамадзянства	hramadzyanstva
чалавечай	chalavyechaй
б	b
дыскрымінацыі	dyskryminatsyi
іншымі	inшymi
законам	zakonam
