Andiast	آندياشت
Castrisch	کاشتريش
Cumbel	کومبيل
Degen	ديدجن
Duvin	دووين
Falera	فاليرا
Glaruna	گلارونا
Glion	ليون
Ladir	لادير
Lucmagn	لوکمان
Lumbrein	لومبراين
Pigniu	پينيو
Pitasch	پيتاش
Riein	رياين
Rueun	رواون
Sagogn	ساگون
Schlans	شلانس
Schluein	شلواين
Schnaus	شناوس
Sevgein	سيودجين
Siat	سيات
Sumvitg	سومويچ
Suraua	سوراوا
Surcuolm	سورکوولم
Svizra	ژويتسرا
Tenna	تينّا
Trun	ترون
Tujetsch	توياتش
Turitg	توريچ
Val Lumnezia	وال لومنيتسيا
Valendas	والينداس
Vals	والس
Vella	ويلّا
Versam	ويرسام
Vignogn	وينون
Vrin	ورين
Vuorz	وورتس
baselgia	باسيلدجا
bogn	بون
buob	بووب
canzun	کانتسون
caschiel	کاژيال
schenghegiar	ژينگيدجار
uaul	اواول
vendiu	وينديو
zucher	تسوکير
