abagqatswa	آباکچاتسوا
alikho	آليکو
amacebo	آمانچابو
asiphumelelanga	آسيپومالالانگا
basetyhini	باساچيني
emhlabeni	امشلاباني
ezengqondo	ازانگنچوندو
ezinjani	ازيندژاني
iintlawulo	اينتشلاوولو
ikroti	ايکخوتي
iphakamisa	ايپاکاميسا
iposi	ايپوسي
isetyenziswa	ايساچانزيسوا
isinhanha	ايسينانا
kolunye	کولونا
kukugqiba	کوکوکچيبا
kunobhala	کونوبالا
kuxwebhu	کونچوابو
kwakufanele	کواکوفانالا
kwesiqhelo	کواسينچالو
lomvuzo	لومووزو
lorhwebo	لوروابو
lwenkqubela	لوانچوبالا
mgcini	مکچيني
mnyhadala	منادالا
nangesandla	نانگاسانژلا
nejografi	نادژوغافي
ngentsimi	نگانتسيمي
ngesibane	نگاسيبانا
ngokwalaa	نگوکوالا
ngummi	نگومي
nkcukacha	نچوکانچا
nohlahlo	نوشلاشلو
noshishino	نوشيشينو
okufundisela	اوکوفونديسالا
oomatshini	اوماتشيني
shedyuli	شادجولي
sokutshintsha	سوکوتشينتشا
ukunyaniseka	اوکونانيساکا
umhambi	اومامبي
umqeshi	اومنچاشي
weengingqi	اوانگينگنچي
wehlabathi	اواشلاباتي
yingxelo	ينگنچالو
yokubambela	يوکوبامبالا
yokuxhobisa	يوکونچوبيسا
zedemokhrasi	زاداموکراسي
