# Baby names
అకుతీ	اكوتی
అక్సిథీ	اكسیتهی
అచలరాజ	اتشلراج
అచలా	اتشلا
అజగంధా	اججندها
అజాణీ	اجانی
అజియా	اجییا
అడ్యాత్రయీ	ادیاتریی
అదీక్యా	ادیكیا
అదృశ	ادرش
అదేన్య	ادینی
అద్రిక	ادریك
అద్రీపతి	ادریبتی
అధిక్శీఠా	ادهیكشیطها
అబిభవా	ابیبهوا
అబీశాఈ	ابیشاي
అబేల	ابیل
అబోఇల	ابويل
అబ్జా	ابجا
అబ్ధీ	ابدهی
అబ్బ్య్నాయ్హా	اببینایها
అభయ	ابهی
అభయాన	ابهیان
అభిథా	ابهیتها
అభిథి	ابهیتهی
అభినయ	ابهینی
అభినిత	ابهینیت
అభినీత	ابهینیت
అభిమంద	ابهیمند
అభిమానీ	ابهیمانی
అభిసోకా	ابهیسوكا
అభిహీతా	ابهیهیتا
అభీచంద్ర	ابهیتشندر
అభీనాతా	ابهیناتا
అభీశీక్తా	ابهیشیكتا
అభీసుమత	ابهیسومت
అభ్జిత	ابهجیت
అభ్యప్సీత	ابهیبسیت
అలకనందా	الكنندا
అశవ	اشو
అశునత	اشونت
అశ్నేఇల	اشنیيل
అహేలీ	اهیلی
ఆకర్షక	آكرشك
ఆచమన	آتشمن
ఆతమన	آتمن
ఆత్మజ	آتمج
ఆత్రయీ	آتریی
ఆదరవ	آدرو
ఆదర్శా	آدرشا
ఆదర్శీనీ	آدرشینی
ఆదీప్తా	آدیبتا
ఆధరిత	آدهریت
ఆధార	آدهار
ఆధిరా	آدهیرا
ఆధిరాఇ	آدهیراي
ఆధ్యా	آدهیا
ఆనందీ	آنندی
ఆనుష	آنوش
ఆబీర	آبیر
ఆభాస	آبهاس
ఆయనా	آینا
ఆరమాన	آرمان
ఆరాడ్యా	آرادیا
ఆరీవ	آریو
ఆర్కశ	آركش
ఆర్థీ	آرتهی
ఆలాప	آلاب
ఆల్యా	آلیا
ఆవీ	آوی
ఆశిమ	آشیم
ఆస్రీతా	آسریتا
ఆస్లుంనన	آسلوننن
ఇందుభూషణ	إندوبهوشن
ఇందుమతీ	إندومتی
ఇందుముఖీ	إندوموكهی
ఇందుశేఖర	إندوشیكهر
ఇతిశ్రీ	إتیشری
ఇధా	إدها
ఇధికా	إدهیكا
ఇన్గనామ	إنجنام
ఇన్దారేశ	إنداریش
ఇన్దుదార	إندودار
ఇన్దుబాలా	إندوبالا
ఇన్ద్రాణీ	إندرانی
ఇన్ద్రేశ	إندریش
ఇయురేశ	إیوریش
ఇలా	إلا
ఇలావేనిల	إلاوینیل
ఇలాశ్పస్తీ	إلاشبستی
ఇశానికా	إشانیكا
ఇశాన్వీ	إشانوی
ఇష్య	إشی
ఇస్లేత	إسلیت
ఈచ్ఛా	إتشتشها
ఈన్దుస	إندوس
ఈశాంత	إشانت
ఈశానపుత్ర	إشانبوتر
ఉగ్రేశ	وجریش
ఉజవణీ	وجونی
ఉజీత్ర	وجیتر
ఉజేశ	وجیش
ఉజ్జమ	وججم
ఉజ్జవాలా	وججوالا
ఉత్తల	وتتل
ఉత్పర	وتبر
ఉత్విక	وتویك
ఉత్సర్గ	وتسرج
ఉత్సుక	وتسوك
ఉదయన	ودین
ఉదయసూరియాఁ	ودیسورییان
ఉదేయ	ودیی
ఉద్వాహనీ	ودواهنی
ఉధ్గీతా	ودهجیتا
ఉపనయ	وبنی
ఉపాసనా	وباسنا
ఉమాంపుత్ర	ومانبوتر
ఉమికా	ومیكا
ఉలగన	ولجن
ఉల్ముక	ولموك
ఉషాకిరణ	وشاكیرن
ఋచా	رتشا
ఏకంశీ	یكنشی
ఏకలవ్య	یكلوی
ఏకాంత	یكانت
ఏకాంతా	یكانتا
ఏకాంతికా	یكانتیكا
ఏకాత్మా	یكاتما
ఏకావలీ	یكاولی
ఏత్తన	یتتن
ఏనక్షీ	ینكشی
ఏరీన	یرین
ఏలామరణ	یلامرن
ఏలావేన్ధన	یلاویندهن
ఏలుమలాఈ	یلوملاي
ఏవాంశీ	یوانشی
ఏశానికా	یشانیكا
ఓఇశని	اويشنی
ఓఈశీ	اويشی
ఓజస్వీ	اوجسوی
ఓజస్వీతా	اوجسویتا
ఓజ్జస్వీన	اوججسوین
