# Territory names from CLDR
அஷன்ஷியன் தீவு	अषऩ्षियऩ् तीवु
அன்டோரா	अऩ्टोरा
ஐக்கிய அரபு எமிரேட்ஸ்	ऐक्किय अरपु ऎमिरेट्स्
ஆப்கானிஸ்தான்	आप्काऩिस्ताऩ्
ஆண்டிகுவா மற்றும் பார்புடா	आण्टिकुवा मऱ्ऱुम् पार्पुटा
அங்குய்லா	अङ्कुय्ला
அல்பேனியா	अल्पेऩिया
அர்மேனியா	अर्मेऩिया
அங்கோலா	अङ्कोला
அண்டார்டிகா	अण्टार्टिका
அர்ஜென்டினா	अर्जॆऩ्टिऩा
அமெரிக்க சமோவா	अमॆरिक्क चमोवा
ஆஸ்திரியா	आस्तिरिया
ஆஸ்திரேலியா	आस्तिरेलिया
அரூபா	अरूपा
ஆலந்து தீவுகள்	आलन्तु तीवुकळ्
அசர்பைஜான்	अचर्पैजाऩ्
போஸ்னியா &amp; ஹெர்ஸகோவினா	पोस्ऩिया &amp; हॆर्सकोविऩा
பார்படோஸ்	पार्पटोस्
பங்களாதேஷ்	पङ्कळातेष्
பெல்ஜியம்	पॆल्जियम्
புர்கினா ஃபாஸோ	पुर्किऩा ःपासो
பல்கேரியா	पल्केरिया
பஹ்ரைன்	पह्रैऩ्
புருண்டி	पुरुण्टि
பெனின்	पॆऩिऩ्
செயின்ட் பார்தேலெமி	चॆयिऩ्ट् पार्तेलॆमि
பெர்முடா	पॆर्मुटा
புரூனேய்	पुरूऩेय्
பொலிவியா	पॊलिविया
கரீபியன் நெதர்லாந்து	करीपियऩ् नॆतर्लान्तु
பிரேசில்	पिरेचिल्
பஹாமாஸ்	पहामास्
பூடான்	पूटाऩ्
பொவேட் தீவுகள்	पॊवेट् तीवुकळ्
போட்ஸ்வானா	पोट्स्वाऩा
பெலாரூஸ்	पॆलारूस्
பெலிஸ்	पॆलिस्
கனடா	कऩटा
கோகோஸ் (கீலிங்) தீவுகள்	कोकोस् (कीलिङ्) तीवुकळ्
காங்கோ - கின்ஷாசா	काङ्को - किऩ्षाचा
காங்கோ (டிஆர்சி)	काङ्को (टिआर्चि)
மத்திய ஆப்ரிக்கக் குடியரசு	मत्तिय आप्रिक्कक् कुटियरचु
காங்கோ - ப்ராஸாவில்லே	काङ्को - प्रासाविल्ले
காங்கோ (குடியரசு)	काङ्को (कुटियरचु)
ஸ்விட்சர்லாந்து	स्विट्चर्लान्तु
கோட் தி’வாயர்	कोट् ति’वायर्
ஐவரி கோஸ்ட்	ऐवरि कोस्ट्
குக் தீவுகள்	कुक् तीवुकळ्
சிலி	चिलि
கேமரூன்	केमरूऩ्
சீனா	चीऩा
கொலம்பியா	कॊलम्पिया
கிலிப்பர்டன் தீவு	किलिप्पर्टऩ् तीवु
கோஸ்டாரிகா	कोस्टारिका
கியூபா	कियूपा
கேப் வெர்டே	केप् वॆर्टे
குராகவ்	कुराकव्
கிறிஸ்துமஸ் தீவு	किऱिस्तुमस् तीवु
சைப்ரஸ்	चैप्रस्
செக் குடியரசு	चॆक् कुटियरचु
ஜெர்மனி	जॆर्मऩि
டியகோ கார்ஷியா	टियको कार्षिया
ஜிபௌட்டி	जिपौट्टि
டென்மார்க்	टॆऩ्मार्क्
டொமினிகா	टॊमिऩिका
டொமினிகன் குடியரசு	टॊमिऩिकऩ् कुटियरचु
அல்ஜீரியா	अल्जीरिया
சியூடா &amp; மெலில்லா	चियूटा &amp; मॆलिल्ला
ஈக்வடார்	ईक्वटार्
எஸ்டோனியா	ऎस्टोऩिया
எகிப்து	ऎकिप्तु
மேற்கு சஹாரா	मेऱ्कु चहारा
எரிட்ரியா	ऎरिट्रिया
ஸ்பெயின்	स्पॆयिऩ्
எதியோப்பியா	ऎतियोप्पिया
ஐரோப்பிய யூனியன்	ऐरोप्पिय यूऩियऩ्
பின்லாந்து	पिऩ्लान्तु
ஃபிஜி	ःपिजि
ஃபாக்லாந்து தீவுகள்	ःपाक्लान्तु तीवुकळ्
ஃபாக்லாந்து தீவுகள் (இஸ்லாஸ் மால்வினஸ்)	ःपाक्लान्तु तीवुकळ् (इस्लास् माल्विऩस्)
மைக்ரோனேஷியா	मैक्रोऩेषिया
ஃபாரோ தீவுகள்	ःपारो तीवुकळ्
பிரான்ஸ்	पिराऩ्स्
கேபான்	केपाऩ्
ஐக்கிய பேரரசு	ऐक्किय पेररचु
யூகே	यूके
கிரனெடா	किरऩॆटा
ஜார்ஜியா	जार्जिया
பிரெஞ்சு கயானா	पिरॆञ्चु कयाऩा
கெர்ன்சி	कॆर्ऩ्चि
கானா	काऩा
ஜிப்ரால்டர்	जिप्राल्टर्
கிரீன்லாந்து	किरीऩ्लान्तु
காம்பியா	काम्पिया
கினியா	किऩिया
க்வாதேலோப்	क्वातेलोप्
ஈக்வடோரியல் கினியா	ईक्वटोरियल् किऩिया
கிரீஸ்	किरीस्
தென் ஜியார்ஜியா மற்றும் தென் சான்ட்விச் தீவுகள்	तॆऩ् जियार्जिया मऱ्ऱुम् तॆऩ् चाऩ्ट्विच् तीवुकळ्
கவுதமாலா	कवुतमाला
குவாம்	कुवाम्
கினியா-பிஸ்ஸாவ்	किऩिया-पिस्साव्
கயானா	कयाऩा
