# Territory names from CLDR
ਅਸੈਂਸ਼ਨ ਟਾਪੂ	અસૈંસ઼ન ટાપૂ
ਅੰਡੋਰਾ	અડોરા
ਸੰਯੁਕਤ ਅਰਬ ਅਮੀਰਾਤ	સયુકત અરબ અમીરાત
ਅਫ਼ਗਾਨਿਸਤਾਨ	અફ઼ગાનિસતાન
ਐਂਟੀਗੁਆ ਅਤੇ ਬਾਰਬੁਡਾ	ઐંટીગુઆ અતે બારબુડા
ਅੰਗੁਇਲਾ	અગુઇલા
ਅਲਬਾਨੀਆ	અલબાનીઆ
ਅਰਮੀਨੀਆ	અરમીનીઆ
ਅੰਗੋਲਾ	અગોલા
ਅੰਟਾਰਕਟਿਕਾ	અટારકટિકા
ਅਰਜਨਟੀਨਾ	અરજનટીના
ਅਮੈਰੀਕਨ ਸਮੋਆ	અમૈરીકન સમોઆ
ਆਸਟਰੀਆ	આસટરીઆ
ਆਸਟ੍ਰੇਲੀਆ	આસટ્રેલીઆ
ਅਰੂਬਾ	અરૂબા
ਅਲੈਂਡ ਟਾਪੂ	અલૈંડ ટાપૂ
ਅਜ਼ਰਬਾਈਜਾਨ	અજ઼રબાઈજાન
ਬੋਸਨੀਆ ਅਤੇ ਹਰਜ਼ੇਗੋਵੀਨਾ	બોસનીઆ અતે હરજ઼ેગોવીના
ਬਾਰਬਾਡੋਸ	બારબાડોસ
ਬੰਗਲਾਦੇਸ਼	બગલાદેસ઼
ਬੈਲਜੀਅਮ	બૈલજીઅમ
ਬੁਰਕੀਨਾ ਫ਼ਾਸੋ	બુરકીના ફ઼ાસો
ਬੁਲਗਾਰੀਆ	બુલગારીઆ
ਬਹਿਰੀਨ	બહિરીન
ਬੁਰੁੰਡੀ	બુરુડી
ਬੇਨਿਨ	બેનિન
ਸੇਂਟ ਬਾਰਥੇਲੇਮੀ	સેંટ બારથેલેમી
ਬਰਮੂਡਾ	બરમૂડા
ਬਰੂਨੇਈ	બરૂનેઈ
ਬੋਲੀਵੀਆ	બોલીવીઆ
ਕੈਰੇਬੀਆਈ ਨੀਦਰਲੈਂਡ	કૈરેબીઆઈ નીદરલૈંડ
ਬ੍ਰਾਜ਼ੀਲ	બ્રાજ઼ીલ
ਬਹਾਮਾਸ	બહામાસ
ਭੂਟਾਨ	ભૂટાન
ਬੌਵੇਟ ਟਾਪੂ	બૌવેટ ટાપૂ
ਬੋਟਸਵਾਨਾ	બોટસવાના
ਬੇਲਾਰੂਸ	બેલારૂસ
ਬੇਲੀਜ਼	બેલીજ઼
ਕੈਨੇਡਾ	કૈનેડા
ਕੋਕੋਸ (ਕੀਲਿੰਗ) ਟਾਪੂ	કોકોસ (કીલિગ) ટાપૂ
ਕਾਂਗੋ - ਕਿੰਸ਼ਾਸਾ	કાંગો - કિસ઼ાસા
ਕਾਂਗੋ ਲੋਕਤੰਤਰੀ ਗਣਰਾਜ	કાંગો લોકતતરી ગણરાજ
ਕੇਂਦਰੀ ਅਫ਼ਰੀਕੀ ਗਣਰਾਜ	કેંદરી અફ઼રીકી ગણરાજ
ਕਾਂਗੋ - ਬ੍ਰਾਜ਼ਾਵਿਲੇ	કાંગો - બ્રાજ઼ાવિલે
ਕਾਂਗੋ ਗਣਰਾਜ	કાંગો ગણરાજ
ਸਵਿਟਜ਼ਰਲੈਂਡ	સવિટજ઼રલૈંડ
ਕੋਟ ਡੀਵੋਆਰ	કોટ ડીવોઆર
ਆਇਵਰੀ ਕੋਸਟ	આઇવરી કોસટ
ਕੁੱਕ ਟਾਪੂ	કુક ટાપૂ
ਚਿਲੀ	ચિલી
ਕੈਮਰੂਨ	કૈમરૂન
ਚੀਨ	ચીન
ਕੋਲੰਬੀਆ	કોલબીઆ
ਕਲਿੱਪਰਟਨ ਟਾਪੂ	કલિપરટન ટાપૂ
ਕੋਸਟਾ ਰੀਕਾ	કોસટા રીકા
ਕਿਊਬਾ	કિઊબા
ਕੇਪ ਵਰਡੇ	કેપ વરડે
ਕੁਰਾਕਾਓ	કુરાકાઓ
ਕ੍ਰਿਸਮਿਸ ਟਾਪੂ	ક્રિસમિસ ટાપૂ
ਸਾਇਪ੍ਰਸ	સાઇપ્રસ
ਚੈਕ ਗਣਰਾਜ	ચૈક ગણરાજ
ਜਰਮਨੀ	જરમની
ਡੀਇਗੋ ਗਾਰਸੀਆ	ડીઇગો ગારસીઆ
ਜ਼ੀਬੂਤੀ	જ઼ીબૂતી
ਡੈਨਮਾਰਕ	ડૈનમારક
ਡੋਮੀਨਿਕਾ	ડોમીનિકા
ਡੋਮੀਨਿਕਾਈ ਗਣਰਾਜ	ડોમીનિકાઈ ગણરાજ
ਅਲਜੀਰੀਆ	અલજીરીઆ
ਸਿਓਟਾ ਅਤੇ ਮੇਲਿੱਲਾ	સિઓટા અતે મેલિલા
ਇਕਵੇਡੋਰ	ઇકવેડોર
ਇਸਟੋਨੀਆ	ઇસટોનીઆ
ਮਿਸਰ	મિસર
ਪੱਛਮੀ ਸਹਾਰਾ	પછમી સહારા
ਇਰੀਟ੍ਰਿਆ	ઇરીટ્રિઆ
ਸਪੇਨ	સપેન
ਇਥੋਪੀਆ	ઇથોપીઆ
ਯੂਰਪੀ ਯੂਨੀਅਨ	યૂરપી યૂનીઅન
ਫਿਨਲੈਂਡ	ફિનલૈંડ
ਫ਼ਿਜੀ	ફ઼િજી
ਫ਼ਾਕਲੈਂਡ ਟਾਪੂ	ફ઼ાકલૈંડ ટાપૂ
ਫ਼ਾਕਲੈਂਡ ਟਾਪੂ (ਆਈਲਾਸ ਮਾਲਵਿਨਾਸ)	ફ઼ાકલૈંડ ટાપૂ (આઈલાસ માલવિનાસ)
ਮਾਇਕ੍ਰੋਨੇਸ਼ੀਆ	માઇક્રોનેસ઼ીઆ
ਫੈਰੋ ਟਾਪੂ	ફૈરો ટાપૂ
ਫ਼ਰਾਂਸ	ફ઼રાંસ
ਗਬੋਨ	ગબોન
ਯੂਨਾਈਟਡ ਕਿੰਗਡਮ	યૂનાઈટડ કિગડમ
ਗ੍ਰੇਨਾਡਾ	ગ્રેનાડા
ਜਾਰਜੀਆ	જારજીઆ
ਫ਼ਰੈਂਚ ਗੁਆਨਾ	ફ઼રૈંચ ગુઆના
ਗਰਨਜੀ	ગરનજી
ਘਾਨਾ	ઘાના
ਜਿਬਰਾਲਟਰ	જિબરાલટર
ਗ੍ਰੀਨਲੈਂਡ	ગ્રીનલૈંડ
ਗੈਂਬੀਆ	ગૈંબીઆ
ਗਿਨੀ	ગિની
ਗੁਆਡੇਲੋਪ	ગુઆડેલોપ
ਭੂ-ਖੰਡੀ ਗਿਨੀ	ભૂ-ખડી ગિની
ਗ੍ਰੀਸ	ગ્રીસ
ਦੱਖਣੀ ਜਾਰਜੀਆ ਅਤੇ ਦੱਖਣੀ ਸੈਂਡਵਿਚ ਟਾਪੂ	દખણી જારજીઆ અતે દખણી સૈંડવિચ ટાપૂ
ਗੁਆਟੇਮਾਲਾ	ગુઆટેમાલા
ਗੁਆਮ	ગુઆમ
ਗਿਨੀ-ਬਿਸਾਉ	ગિની-બિસાઉ
ਗੁਯਾਨਾ	ગુયાના
ਹਾਂਗ ਕਾਂਗ ਐਸਏਆਰ ਚੀਨ	હાંગ કાંગ ઐસએઆર ચીન
ਹਾਂਗ ਕਾਂਗ	હાંગ કાંગ
ਹਰਡ ਤੇ ਮੈਕਡੋਨਾਲਡ ਟਾਪੂ	હરડ તે મૈકડોનાલડ ટાપૂ
ਹੋਂਡੁਰਸ	હોંડુરસ
ਕਰੋਏਸ਼ੀਆ	કરોએસ઼ીઆ
ਹੈਤੀ	હૈતી
ਹੰਗਰੀ	હગરી
ਕੇਨਾਰੀ ਟਾਪੂ	કેનારી ટાપૂ
ਇੰਡੋਨੇਸ਼ੀਆ	ઇડોનેસ઼ીઆ
ਆਇਰਲੈਂਡ	આઇરલૈંડ
ਇਜ਼ਰਾਈਲ	ઇજ઼રાઈલ
ਆਇਲ ਆਫ ਮੈਨ	આઇલ આફ મૈન
ਭਾਰਤ	ભારત
ਬਰਤਾਨਵੀ ਹਿੰਦ ਮਹਾਂਸਾਗਰ ਪ੍ਰਦੇਸ਼	બરતાનવી હિદ મહાંસાગર પ્રદેસ઼
ਇਰਾਕ	ઇરાક
ਈਰਾਨ	ઈરાન
ਆਈਸਲੈਂਡ	આઈસલૈંડ
ਇਟਲੀ	ઇટલી
ਜਰਸੀ	જરસી
ਜਮਾਇਕਾ	જમાઇકા
ਜਾਰਡਨ	જારડન
ਜਪਾਨ	જપાન
ਕੀਨੀਆ	કીનીઆ
ਕਿਰਗਿਜ਼ਸਤਾਨ	કિરગિજ઼સતાન
ਕੰਬੋਡੀਆ	કબોડીઆ
ਕਿਰਬਾਤੀ	કિરબાતી
ਕੋਮੋਰੋਸ	કોમોરોસ
ਸੈਂਟ ਕਿਟਸ ਐਂਡ ਨੇਵਿਸ	સૈંટ કિટસ ઐંડ નેવિસ
ਉੱਤਰੀ ਕੋਰੀਆ	ઉતરી કોરીઆ
ਦੱਖਣੀ ਕੋਰੀਆ	દખણી કોરીઆ
ਕੁਵੈਤ	કુવૈત
ਕੇਮੈਨ ਟਾਪੂ	કેમૈન ટાપૂ
