# Territory names from CLDR
असेंशन द्वीप	ಅಸೇಂಶನ ದ್ವೀಪ
एंडोरा	ಏಂಡೋರಾ
संयुक्त अरब अमीरात	ಸಂಯುಕ್ತ ಅರಬ ಅಮೀರಾತ
अफ़गानिस्तान	ಅಫ಼ಗಾನಿಸ್ತಾನ
एंटिगुआ और बरबुडा	ಏಂಟಿಗುಆ ಔರ ಬರಬುಡಾ
एंग्विला	ಏಂಗ್ವಿಲಾ
अल्बानिया	ಅಲ್ಬಾನಿಯಾ
आर्मेनिया	ಆರ್ಮೇನಿಯಾ
अंगोला	ಅಂಗೋಲಾ
अंटार्कटिका	ಅಂಟಾರ್ಕಟಿಕಾ
अर्जेंटीना	ಅರ್ಜೇಂಟೀನಾ
अमेरिकी समोआ	ಅಮೇರಿಕೀ ಸಮೋಆ
ऑस्ट्रिया	ಒಸ್ಟ್ರಿಯಾ
ऑस्ट्रेलिया	ಒಸ್ಟ್ರೇಲಿಯಾ
अरूबा	ಅರೂಬಾ
एलैंड द्वीपसमूह	ಏಲೈಂಡ ದ್ವೀಪಸಮೂಹ
अज़रबैजान	ಅಜ಼ರಬೈಜಾನ
बोस्निया और हर्ज़ेगोविना	ಬೋಸ್ನಿಯಾ ಔರ ಹರ್ಜ಼ೇಗೋವಿನಾ
बारबाडोस	ಬಾರಬಾಡೋಸ
बांग्लादेश	ಬಾಂಗ್ಲಾದೇಶ
बेल्जियम	ಬೇಲ್ಜಿಯಮ
बुर्किना फ़ासो	ಬುರ್ಕಿನಾ ಫ಼ಾಸೋ
बुल्गारिया	ಬುಲ್ಗಾರಿಯಾ
बहरीन	ಬಹರೀನ
बुरुंडी	ಬುರುಂಡೀ
बेनिन	ಬೇನಿನ
सेंट बार्थेलेमी	ಸೇಂಟ ಬಾರ್ಥೇಲೇಮೀ
बरमूडा	ಬರಮೂಡಾ
ब्रूनेई	ಬ್ರೂನೇಈ
बोलीविया	ಬೋಲೀವಿಯಾ
कैरिबियन नीदरलैंड	ಕೈರಿಬಿಯನ ನೀದರಲೈಂಡ
ब्राज़ील	ಬ್ರಾಜ಼ೀಲ
बहामास	ಬಹಾಮಾಸ
भूटान	ಭೂಟಾನ
बोवेत द्वीप	ಬೋವೇತ ದ್ವೀಪ
बोत्स्वाना	ಬೋತ್ಸ್ವಾನಾ
बेलारूस	ಬೇಲಾರೂಸ
बेलीज़	ಬೇಲೀಜ಼
कनाडा	ಕನಾಡಾ
कोकोस (कीलिंग) द्वीपसमूह	ಕೋಕೋಸ (ಕೀಲಿಂಗ) ದ್ವೀಪಸಮೂಹ
कांगो - किंशासा	ಕಾಂಗೋ - ಕಿಂಶಾಸಾ
कांगो (डीआरसी)	ಕಾಂಗೋ (ಡೀಆರಸೀ)
मध्य अफ़्रीकी गणराज्य	ಮಧ್ಯ ಅಫ಼್ರೀಕೀ ಗಣರಾಜ್ಯ
कांगो – ब्राज़ाविल	ಕಾಂಗೋ – ಬ್ರಾಜ಼ಾವಿಲ
कांगो (गणराज्य)	ಕಾಂಗೋ (ಗಣರಾಜ್ಯ)
स्विट्ज़रलैंड	ಸ್ವಿಟ್ಜ಼ರಲೈಂಡ
कोट डी आइवर	ಕೋಟ ಡೀ ಆಇವರ
आइवरी कोस्ट	ಆಇವರೀ ಕೋಸ್ಟ
कुक द्वीपसमूह	ಕುಕ ದ್ವೀಪಸಮೂಹ
चिली	ಚಿಲೀ
कैमरून	ಕೈಮರೂನ
चीन	ಚೀನ
कोलंबिया	ಕೋಲಂಬಿಯಾ
क्लिपर्टन द्वीप	ಕ್ಲಿಪರ್ಟನ ದ್ವೀಪ
कोस्टारिका	ಕೋಸ್ಟಾರಿಕಾ
क्यूबा	ಕ್ಯೂಬಾ
केप वर्ड	ಕೇಪ ವರ್ಡ
क्यूरासाओ	ಕ್ಯೂರಾಸಾಓ
क्रिसमस द्वीप	ಕ್ರಿಸಮಸ ದ್ವೀಪ
साइप्रस	ಸಾಇಪ್ರಸ
चेक गणराज्य	ಚೇಕ ಗಣರಾಜ್ಯ
जर्मनी	ಜರ್ಮನೀ
डिएगो गार्सिया	ಡಿಏಗೋ ಗಾರ್ಸಿಯಾ
जिबूती	ಜಿಬೂತೀ
डेनमार्क	ಡೇನಮಾರ್ಕ
डोमिनिका	ಡೋಮಿನಿಕಾ
डोमिनिकन गणराज्य	ಡೋಮಿನಿಕನ ಗಣರಾಜ್ಯ
अल्जीरिया	ಅಲ್ಜೀರಿಯಾ
सेउटा और मेलिला	ಸೇಉಟಾ ಔರ ಮೇಲಿಲಾ
इक्वाडोर	ಇಕ್ವಾಡೋರ
एस्टोनिया	ಏಸ್ಟೋನಿಯಾ
मिस्र	ಮಿಸ್ರ
पश्चिमी सहारा	ಪಶ್ಚಿಮೀ ಸಹಾರಾ
इरिट्रिया	ಇರಿಟ್ರಿಯಾ
स्पेन	ಸ್ಪೇನ
इथियोपिया	ಇಥಿಯೋಪಿಯಾ
यूरोपीय संघ	ಯೂರೋಪೀಯ ಸಂಘ
फ़िनलैंड	ಫ಼ಿನಲೈಂಡ
फ़िजी	ಫ಼ಿಜೀ
फ़ॉकलैंड द्वीपसमूह	ಫ಼ೊಕಲೈಂಡ ದ್ವೀಪಸಮೂಹ
फ़ॉकलैंड द्वीपसमूह (इज़्लास माल्विनास)	ಫ಼ೊಕಲೈಂಡ ದ್ವೀಪಸಮೂಹ (ಇಜ಼್ಲಾಸ ಮಾಲ್ವಿನಾಸ)
माइक्रोनेशिया	ಮಾಇಕ್ರೋನೇಶಿಯಾ
फ़ेरो द्वीपसमूह	ಫ಼ೇರೋ ದ್ವೀಪಸಮೂಹ
फ़्रांस	ಫ಼್ರಾಂಸ
गैबॉन	ಗೈಬೊನ
यूनाइटेड किंगडम	ಯೂನಾಇಟೇಡ ಕಿಂಗಡಮ
ग्रेनाडा	ಗ್ರೇನಾಡಾ
जॉर्जिया	ಜೊರ್ಜಿಯಾ
फ़्रेंच गयाना	ಫ಼್ರೇಂಚ ಗಯಾನಾ
गर्नसी	ಗರ್ನಸೀ
घाना	ಘಾನಾ
जिब्राल्टर	ಜಿಬ್ರಾಲ್ಟರ
ग्रीनलैंड	ಗ್ರೀನಲೈಂಡ
गाम्बिया	ಗಾಮ್ಬಿಯಾ
गिनी	ಗಿನೀ
ग्वाडेलूप	ಗ್ವಾಡೇಲೂಪ
इक्वेटोरियल गिनी	ಇಕ್ವೇಟೋರಿಯಲ ಗಿನೀ
यूनान	ಯೂನಾನ
दक्षिण जॉर्जिया और दक्षिण सैंडविच द्वीपसमूह	ದಕ್ಷಿಣ ಜೊರ್ಜಿಯಾ ಔರ ದಕ್ಷಿಣ ಸೈಂಡವಿಚ ದ್ವೀಪಸಮೂಹ
ग्वाटेमाला	ಗ್ವಾಟೇಮಾಲಾ
गुआम	ಗುಆಮ
गिनी-बिसाउ	ಗಿನೀ-ಬಿಸಾಉ
गयाना	ಗಯಾನಾ
हाँग काँग (चीन विशेष प्रशासनिक क्षेत्र)	ಹಾಂಗ ಕಾಂಗ (ಚೀನ ವಿಶೇಷ ಪ್ರಶಾಸನಿಕ ಕ್ಷೇತ್ರ)
हाँग काँग	ಹಾಂಗ ಕಾಂಗ
हर्ड द्वीप और मैकडोनॉल्ड द्वीपसमूह	ಹರ್ಡ ದ್ವೀಪ ಔರ ಮೈಕಡೋನೊಲ್ಡ ದ್ವೀಪಸಮೂಹ
होंडूरास	ಹೋಂಡೂರಾಸ
क्रोएशिया	ಕ್ರೋಏಶಿಯಾ
हैती	ಹೈತೀ
हंगरी	ಹಂಗರೀ
कैनेरी द्वीपसमूह	ಕೈನೇರೀ ದ್ವೀಪಸಮೂಹ
इंडोनेशिया	ಇಂಡೋನೇಶಿಯಾ
आयरलैंड	ಆಯರಲೈಂಡ
इसराइल	ಇಸರಾಇಲ
आइल ऑफ़ मैन	ಆಇಲ ಒಫ಼ ಮೈನ
