# Territory names from CLDR
അസൻഷൻ ദ്വീപ്	ಅಸൻಷൻ ದ್ವೀಪ್
അന്റോറ	ಅನ್ಱೇಾಱ
യുണൈറ്റഡ് അറബ് എമിറൈറ്റ്‌സ്	ಯುಣೈಱ್ಱಡ್ ಅಱಬ್ ಎಮಿಱೈಱ್ಱ್‌ಸ್
അഫ്‌ഗാനിസ്ഥാൻ	ಅಫ್‌ಗಾನಿಸ್ಥಾൻ
ആൻറിഗ്വയും ബർബുഡയും	ಆൻಱಿಗ್ವಯುಂ ಬർಬುಡಯುಂ
ആൻഗ്വില്ല	ಆൻಗ್ವಿಲ್ಲ
അൽബേനിയ	ಅൽಬೇನಿಯ
അർമേനിയ	ಅർಮೇನಿಯ
അംഗോള	ಅಂಗೇಾಳ
അൻറാർട്ടിക്ക	ಅൻಱಾർಟ್ಟಿಕ್ಕ
അർജൻറീന	ಅർಜൻಱೀನ
അമേരിക്കൻ സമോവ	ಅಮೇರಿಕ್ಕൻ ಸಮೇಾವ
ഓസ്ട്രിയ	ಓಸ್ಟ್ರಿಯ
ഓസ്‌ട്രേലിയ	ಓಸ್‌ಟ್ರೇಲಿಯ
അറൂബ	ಅಱೂಬ
അലൻഡ് ദ്വീപുകൾ	ಅಲൻಡ್ ದ್ವೀಪುಕൾ
അസർബൈജാൻ	ಅಸർಬೈಜಾൻ
ബോസ്നിയയും ഹെർസഗോവിനയും	ಬೇಾಸ್ನಿಯಯುಂ ಹೆർಸಗೇಾವಿನಯುಂ
ബാർബഡോസ്	ಬಾർಬಡೇಾಸ್
ബംഗ്ലാദേശ്	ಬಂಗ್ಲಾದೇಶ್
ബെൽജിയം	ಬೆൽಜಿಯಂ
ബുർക്കിനാ ഫാസോ	ಬುർಕ್ಕಿನಾ ಫಾಸೇಾ
ബൾഗേറിയ	ಬൾಗೇಱಿಯ
ബഹ്റിൻ	ಬಹ್ಱಿൻ
ബറുണ്ടി	ಬಱುಣ್ಟಿ
ബെനിൻ	ಬೆನಿൻ
