# Territory names from CLDR
ఎసెషన్ దీవి	eseṣan dīvi
అండొర్రా	aṇḍorrā
యునైటెడ్ అరబ్ ఎమిరేట్స్	yunaiṭeḍ arab emirēṭs
ఆఫ్ఘనిస్తాన్	āphghanistān
ఆంటిగ్వా మరియు బార్బుడా	āṇṭigvā mariyu bārbuḍā
ఆంగవిల్లా	āṅgavillā
అల్బేనియా	albēniyā
ఆర్మేనియా	ārmēniyā
అంగోలా	aṅgōlā
అంటార్కటికా	aṇṭārkaṭikā
అర్జెంటీనా	arjeṇṭīnā
అమెరికన్ సమోవా	amerikan samōvā
ఆస్ట్రియా	āsṭriyā
ఆస్ట్రేలియా	āsṭrēliyā
అరుబా	arubā
ఆలేండ్ దీవులు	ālēṇḍ dīvulu
అజర్బైజాన్	ajarbaijān
బోస్నియా మరియు హెర్జెగొవీనా	bōsniyā mariyu herjegovīnā
బార్బడోస్	bārbaḍōs
బంగ్లాదేశ్	baṅglādēś
బెల్జియం	beljiyaṁ
బుర్కినా ఫాసో	burkinā phāsō
బల్గేరియా	balgēriyā
బహ్రెయిన్	bahreyin
బురుండి	buruṇḍi
బెనిన్	benin
సెంట్ బర్తేలెమీ	seṇṭ bartēlemī
బెర్ముడా	bermuḍā
బ్రూనై	brūnai
బొలీవియా	bolīviyā
కరీబియన్ నెదర్లాండ్స్	karībiyan nedarlāṇḍs
బ్రెజిల్	brejil
బహామాస్	bahāmās
భూటాన్	bhūṭān
బొవెట్ దీవి	boveṭ dīvi
బోట్స్వానా	bōṭsvānā
బెలారస్	belāras
బెలిజ్	belij
కెనడా	kenaḍā
కోకోస్ (కీలింగ్) దీవులు	kōkōs (kīliṅg) dīvulu
కాంగో- కిన్షాసా	kāṅgō- kinṣāsā
కాంగో (DRC)	kāṅgō (DRC)
సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్	seṇṭral āphrikan ripablik
కాంగో- బ్రాజావిల్లి	kāṅgō- brājāvilli
కాంగో (రిపబ్లిక్)	kāṅgō (ripablik)
స్విట్జర్లాండ్	sviṭjarlāṇḍ
ఐవరీ కోస్ట్	aivarī kōsṭ
కుక్ దీవులు	kuk dīvulu
చిలీ	cilī
కామెరూన్	kāmerūn
చైనా	cainā
కొలంబియా	kolambiyā
క్లిప్పర్టన్ దీవి	klipparṭan dīvi
కోస్టా రికా	kōsṭā rikā
క్యూబా	kyūbā
కేప్ వెర్డే	kēp verḍē
కురాకవో	kurākavō
క్రిస్మస్ దీవి	krismas dīvi
సైప్రస్	saipras
చెక్ రిపబ్లిక్	cek ripablik
జర్మనీ	jarmanī
డియాగో గార్సియా	ḍiyāgō gārsiyā
జిబౌటి	jibauṭi
డెన్మార్క్	ḍenmārk
డోమెనిక	ḍōmenika
డొమెనికన్ రిపబ్లిక్	ḍomenikan ripablik
అల్జీరియా	aljīriyā
స్యూటా మరియు మెలిల్లా	syūṭā mariyu melillā
ఈక్వడార్	īkvaḍār
ఎస్టోనియా	esṭōniyā
ఈజిప్ట్	ījipṭ
పడమటి సహారా	paḍamaṭi sahārā
ఎరిట్రియా	eriṭriyā
స్పెయిన్	speyin
ఇథియోపియా	ithiyōpiyā
యురోపియన్ యునియన్	yurōpiyan yuniyan
ఫిన్లాండ్	phinlāṇḍ
ఫిజీ	phijī
ఫాక్‌ల్యాండ్ దీవులు	phāk‌lyāṇḍ dīvulu
ఫాక్‌ల్యాండ్ దీవులు (ఇస్లాస్ మాల్వినాస్)	phāk‌lyāṇḍ dīvulu (islās mālvinās)
మైక్రోనేశియ	maikrōnēśiya
ఫారో దీవులు	phārō dīvulu
ఫ్రాన్స్‌	phrāns‌
గాబన్	gāban
యునైటెడ్ కింగ్‌డమ్	yunaiṭeḍ kiṅg‌ḍam
గ్రెనెడా	greneḍā
జార్జియా	jārjiyā
ఫ్రెంచ్ గియానా	phren̄c giyānā
గ్వేర్నసే	gvērnasē
ఘనా	ghanā
జిబ్రాల్టార్	jibrālṭār
