# Territory names from CLDR
ਅਸੈਂਸ਼ਨ ਟਾਪੂ	ଅସୈଂସ଼ନ ଟାପୂ
ਅੰਡੋਰਾ	ଅଡୋରା
ਸੰਯੁਕਤ ਅਰਬ ਅਮੀਰਾਤ	ସଯୁକତ ଅରବ ଅମୀରାତ
ਅਫ਼ਗਾਨਿਸਤਾਨ	ଅଫ଼ଗାନିସତାନ
ਐਂਟੀਗੁਆ ਅਤੇ ਬਾਰਬੁਡਾ	ଐଂଟୀଗୁଆ ଅତେ ବାରବୁଡା
ਅੰਗੁਇਲਾ	ଅଗୁଇଲା
ਅਲਬਾਨੀਆ	ଅଲବାନୀଆ
ਅਰਮੀਨੀਆ	ଅରମୀନୀଆ
ਅੰਗੋਲਾ	ଅଗୋଲା
ਅੰਟਾਰਕਟਿਕਾ	ଅଟାରକଟିକା
ਅਰਜਨਟੀਨਾ	ଅରଜନଟୀନା
ਅਮੈਰੀਕਨ ਸਮੋਆ	ଅମୈରୀକନ ସମୋଆ
ਆਸਟਰੀਆ	ଆସଟରୀଆ
ਆਸਟ੍ਰੇਲੀਆ	ଆସଟ୍ରେଲୀଆ
ਅਰੂਬਾ	ଅରୂବା
ਅਲੈਂਡ ਟਾਪੂ	ଅଲୈଂଡ ଟାପୂ
ਅਜ਼ਰਬਾਈਜਾਨ	ଅଜ଼ରବାଈଜାନ
ਬੋਸਨੀਆ ਅਤੇ ਹਰਜ਼ੇਗੋਵੀਨਾ	ବୋସନୀଆ ଅତେ ହରଜ଼େଗୋଵୀନା
ਬਾਰਬਾਡੋਸ	ବାରବାଡୋସ
ਬੰਗਲਾਦੇਸ਼	ବଗଲାଦେସ଼
ਬੈਲਜੀਅਮ	ବୈଲଜୀଅମ
ਬੁਰਕੀਨਾ ਫ਼ਾਸੋ	ବୁରକୀନା ଫ଼ାସୋ
ਬੁਲਗਾਰੀਆ	ବୁଲଗାରୀଆ
ਬਹਿਰੀਨ	ବହିରୀନ
ਬੁਰੁੰਡੀ	ବୁରୁଡୀ
ਬੇਨਿਨ	ବେନିନ
ਸੇਂਟ ਬਾਰਥੇਲੇਮੀ	ସେଂଟ ବାରଥେଲେମୀ
ਬਰਮੂਡਾ	ବରମୂଡା
ਬਰੂਨੇਈ	ବରୂନେଈ
ਬੋਲੀਵੀਆ	ବୋଲୀଵୀଆ
ਕੈਰੇਬੀਆਈ ਨੀਦਰਲੈਂਡ	କୈରେବୀଆଈ ନୀଦରଲୈଂଡ
ਬ੍ਰਾਜ਼ੀਲ	ବ୍ରାଜ଼ୀଲ
ਬਹਾਮਾਸ	ବହାମାସ
ਭੂਟਾਨ	ଭୂଟାନ
ਬੌਵੇਟ ਟਾਪੂ	ବୌଵେଟ ଟାପୂ
ਬੋਟਸਵਾਨਾ	ବୋଟସଵାନା
ਬੇਲਾਰੂਸ	ବେଲାରୂସ
ਬੇਲੀਜ਼	ବେଲୀଜ଼
ਕੈਨੇਡਾ	କୈନେଡା
ਕੋਕੋਸ (ਕੀਲਿੰਗ) ਟਾਪੂ	କୋକୋସ (କୀଲିଗ) ଟାପୂ
ਕਾਂਗੋ - ਕਿੰਸ਼ਾਸਾ	କାଂଗୋ - କିସ଼ାସା
ਕਾਂਗੋ ਲੋਕਤੰਤਰੀ ਗਣਰਾਜ	କାଂଗୋ ଲୋକତତରୀ ଗଣରାଜ
ਕੇਂਦਰੀ ਅਫ਼ਰੀਕੀ ਗਣਰਾਜ	କେଂଦରୀ ଅଫ଼ରୀକୀ ଗଣରାଜ
