# Territory names from CLDR
એસેન્શન આઇલેન્ડ	ஏஸேந்ஶந ஆஇலேந்ட
ઍંડોરા	ஏஂடோரா
યુનાઇટેડ આરબ અમીરાત	யுநாஇடேட ஆரப அமீராத
અફઘાનિસ્તાન	அபகாநிஸ்தாந
એન્ટીગુઆ અને બર્મુડા	ஏந்டீகுஆ அநே பர்முடா
ઍંગ્વિલા	ஏஂக்விலா
અલ્બેનિયા	அல்பேநியா
આર્મેનિયા	ஆர்மேநியா
અંગોલા	அஂகோலா
એન્ટાર્કટિકા	ஏந்டார்கடிகா
આર્જેન્ટીના	ஆர்ஜேந்டீநா
અમેરીકન સમોઆ	அமேரீகந ஸமோஆ
ઑસ્ટ્રિયા	ஒஸ்ட்ரியா
ઑસ્ટ્રેલિયા	ஒஸ்ட்ரேலியா
અરુબા	அருபா
એલેંડ ટાપુઓ	ஏலேஂட டாபுஓ
અઝરબૈજાન	அசரபைஜாந
બોસ્નિયા અને હર્ઝેગોવિના	போஸ்நியா அநே ஹர்சேகோவிநா
બાર્બાડોસ	பார்பாடோஸ
બાંગ્લાદેશ	பாஂக்லாதேஶ
બેલ્જીયમ	பேல்ஜீயம
બુર્કિના ફાસો	புர்கிநா பாஸோ
બલ્ગેરિયા	பல்கேரியா
બેહરીન	பேஹரீந
બુરુંડી	புருஂடீ
બેનિન	பேநிந
સેન્ટ બાર્થેલેમી	ஸேந்ட பார்தேலேமீ
બર્મુડા	பர்முடா
બ્રુનેઇ	ப்ருநேஇ
બોલિવિયા	போலிவியா
કેરેબિયન નેધરલેન્ડ્ઝ	கேரேபியந நேதரலேந்ட்ச
બ્રાઝિલ	ப்ராசில
બહામાસ	பஹாமாஸ
ભૂટાન	பூடாந
બૌવેત આઇલેન્ડ	பௌவேத ஆஇலேந்ட
બોત્સ્વાના	போத்ஸ்வாநா
બેલારુસ	பேலாருஸ
બેલીઝ	பேலீச
કેનેડા	கேநேடா
કોકોઝ (કીલીંગ) આઇલેન્ડ્સ	கோகோச (கீலீஂக) ஆஇலேந்ட்ஸ
કોંગો - કિંશાસા	கோஂகோ - கிஂஶாஸா
કોંગો (ડીઆરસી)	கோஂகோ (டீஆரஸீ)
સેન્ટ્રલ આફ્રિકન રીપબ્લિક	ஸேந்ட்ரல ஆப்ரிகந ரீபப்லிக
કોંગો - બ્રાઝાવિલે	கோஂகோ - ப்ராசாவிலே
કોંગો (પ્રજાસત્તાક)	கோஂகோ (ப்ரஜாஸத்தாக)
સ્વિટ્ઝર્લૅન્ડ	ஸ்விட்சர்லாந்ட
કોટ ડી આઇવરી	கோட டீ ஆஇவரீ
આઇવરી કોસ્ટ	ஆஇவரீ கோஸ்ட
કુક આઇલેન્ડ્સ	குக ஆஇலேந்ட்ஸ
ચિલી	சிலீ
કૅમરૂન	காமரூந
ચીન	சீந
કોલમ્બિયા	கோலம்பியா
ક્લિપરટન આઇલેન્ડ	க்லிபரடந ஆஇலேந்ட
