Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,AFG,"Population, total",SP.POP.TOTL,25950816,26697430,27465525,28255719,29068646,29904962,30751661,31622333,32517656,33438329,34385068,35320445,
Afghanistan,AFG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,15540608478.4662,17218883109.9666,17945804095.2134,20617632723.286,22562547086.0474,26334690706.6096,27970029771.7235,34126585532.3547,37244592633.8976,40267838526.0327,
Albania,ALB,"Population, total",SP.POP.TOTL,3071856,3077378,3089778,3106701,3124861,3141800,3156607,3169665,3181397,3192723,3204284,3215988,
Albania,ALB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,13447931147.4451,14821591517.4848,15395808641.564,16631510500.922,18015462631.8615,19546190631.9884,22047164204.1888,23394117185.5092,26355185238.2476,27126632080.2036,27425220362.1352,28368277196.2874,
Algeria,DZA,"Population, total",SP.POP.TOTL,30533827,30982214,31441848,31913462,32396048,32888449,33391954,33906605,34428028,34950168,35468208,35980193,
Algeria,DZA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,156584006307.952,167552956383.809,176720107729.445,192772365834.193,207922776647.51,224059955915.877,238702270153.777,259608445210.478,273273945206.223,288701099493.28,285381650315.003,299016596110.718,
American Samoa,ASM,"Population, total",SP.POP.TOTL,57625,58633,59687,60774,61871,62962,64045,65130,66217,67312,68420,69543,
American Samoa,ASM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,
Andorra,ADO,"Population, total",SP.POP.TOTL,64634,66390,69043,72203,75292,77888,79874,81390,82577,83677,84864,86165,
Andorra,ADO,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,
Angola,AGO,"Population, total",SP.POP.TOTL,13926373,14388244,14890474,15419943,15957460,16489021,17010366,17525367,18037964,18555115,19081912,19618432,
