Table 4a. Literacy,,,,,,,,,,,,,,
Last update: December 2012,,,,,,,,,,,,,,
Country or area,Year,,Adult (15+) literacy rate,,,,,,         Youth (15-24) literacy rate,,,,,
,,,Total,,Men,,Women,,Total,,    Men,,Women,
Albania,2008,,96,,97,,95,,99,,99,,99,
Algeria,2006,,73,,81,,64,,92,,94,,89,
Angola,2010,*,70,,83,,58,,73,,80,,66,
Antigua and Barbuda,2010,*,99,,98,,99,,…,,…,,…,
Argentina,2010,*,98,,98,,98,,99,,99,,99,
Armenia,2010,*,100,,100,,99,,100,,100,,100,
Aruba,2010,,97,,97,,97,,99,,99,,99,
Azerbaijan,2009,,100,,100,,100,,100,,100,,100,
Bahrain,2010,*,92,,93,,90,,100,,100,,100,
Bangladesh,2010,*,57,,61,,52,,77,,75,,78,
Belarus,2009,,100,,100,,99,,100,,100,,100,
Benin,2010,*,42,,55,,30,,55,,66,,45,
Bhutan,2005,,53,,65,,39,,74,,80,,68,
Bolivia (Plurinational State of),2009,,91,,96,,87,,99,,100,,99,
Bosnia and Herzegovina,2010,*,98,,99,,96,,100,,100,,100,
Botswana,2010,*,84,,84,,85,,95,,94,,97,
Brazil,2009,,90,,90,,90,,98,,97,,99,
Brunei Darussalam,2010,*,95,,97,,94,,100,,100,,100,
Bulgaria,2011,,98,,99,,98,,98,,98,,98,
Burkina Faso,2007,,29,,37,,22,,39,,47,,33,
Burundi,2010,*,67,,73,,62,,78,,78,,78,
Cambodia,2009,,74,,83,,66,,87,,88,,86,
Cameroon,2007,,71,,79,,63,,83,,89,,77,
Cape Verde,2010,*,84,,89,,79,,98,,97,,99,
Cayman Islands,2007,,99,,99,,99,,99,,99,,99,
Central African Republic,2010,*,56,,69,,43,,65,,72,,58,
Chad,2010,*,34,,45,,24,,47,,53,,41,
Chile,2009,,99,,99,,98,,99,,99,,99,
China,2010,*,94,,97,,91,,99,,99,,99,
"China, Macao Special Administrative Region",2006,,93,,96,,91,,100,,100,,100,
Colombia,2010,,93,,93,,93,,98,,98,,99,
Comoros,2010,*,75,,80,,70,,86,,86,,85,
Congo,2005,,…,,…,,…,,80,,87,,78,
Costa Rica,2010,*,96,,96,,96,,98,,98,,99,
Côte d'Ivoire,2010,*,56,,65,,47,,67,,72,,62,
Croatia,2010,*,99,,99,,98,,100,,100,,100,
Cuba,2010,*,100,,100,,100,,100,,100,,100,
Cyprus,2010,*,98,,99,,97,,100,,100,,100,
Democratic People's Republic of Korea,2008,,100,,100,,100,,100,,100,,100,
Democratic Republic of the Congo,2010,*,67,,77,,57,,65,,68,,62,
Dominican Republic,2010,,90,,89,,90,,97,,96,,98,
Ecuador,2010,,92,,93,,90,,99,,98,,99,
Egypt,2010,,72,,80,,64,,88,,91,,84,
El Salvador,2010,,84,,87,,82,,96,,96,,96,
Equatorial Guinea,2010,*,94,,97,,91,,98,,98,,98,
Eritrea,2010,*,68,,79,,58,,89,,92,,87,
Estonia,2010,*,100,,100,,100,,100,,100,,100,
Ethiopia,2007,,39,,49,,29,,55,,63,,47,
Gabon,2010,*,88,,92,,85,,98,,99,,97,
Gambia,2010,*,50,,60,,40,,67,,72,,62,
Georgia,2010,*,100,,100,,100,,100,,100,,100,
Ghana,2010,*,67,,73,,61,,81,,82,,80,
Greece,2010,*,97,,98,,96,,99,,99,,99,
Guatemala,2010,*,75,,81,,70,,87,,89,,85,
Guinea,2010,*,41,,52,,30,,63,,70,,57,
Guinea-Bissau,2010,*,54,,68,,41,,72,,79,,65,
Haiti,2006,,49,*,53,*,45,*,72,,74,,70,
Honduras,2010,,85,,85,,85,,95,,94,,96,
Hungary,2010,*,99,,99,,99,,99,,99,,99,
India,2006,,63,,75,,51,,81,,88,,74,
Indonesia,2009,,93,,96,,90,,99,,100,,99,
Iran (Islamic Republic of),2008,,85,,89,,81,,99,,99,,99,
Iraq,2010,*,78,,86,,71,,83,,85,,81,
Italy,2010,*,99,,99,,99,,100,,100,,100,
Jamaica,2010,*,87,,82,,91,,95,,93,,98,
Jordan,2010,,93,,96,,89,,99,,99,,99,
Kazakhstan,2010,*,100,,100,,100,,100,,100,,100,
Kenya,2010,*,87,,91,,84,,93,,92,,94,
Kuwait,2008,,94,,95,,92,,99,,99,,99,
Kyrgyzstan,2009,,99,,100,,99,,100,,100,,100,
Lao People's Democratic Republic,2005,,73,,82,,63,,84,,89,,79,
Latvia,2010,*,100,,100,,100,,100,,100,,100,
Lebanon,2007,,90,,93,,86,,99,,98,,99,
Lesotho,2010,*,90,,83,,96,,92,,86,,98,
Liberia,2010,*,61,,65,,57,,77,,71,,82,
Libya,2010,*,89,,96,,83,,100,,100,,100,
Lithuania,2010,*,100,,100,,100,,100,,100,,100,
Madagascar,2009,*,64,,67,,62,,65,,66,,64,
Malawi,2010,*,75,,81,,68,,87,,87,,87,
Malaysia,2010,,93,,95,,91,,98,,98,,98,
Maldives,2006,,98,,98,,98,,99,,99,,99,
Mali,2010,,31,,43,,20,,44,,56,,34,
Malta,2005,,92,,91,,94,,98,,97,,99,
Mauritania,2010,*,58,,65,,51,,68,,71,,65,
Mauritius,2010,*,89,,91,,86,,97,,96,,98,
Mexico,2010,,93,,94,,92,,98,,98,,98,
Mongolia,2010,*,97,,97,,98,,96,,94,,97,
Montenegro,2010,*,98,,99,,97,,99,,99,,99,
Morocco,2009,,56,,69,,44,,79,,87,,72,
Mozambique,2010,*,56,,71,,43,,72,,79,,65,
Myanmar,2010,*,92,,95,,90,,96,,96,,96,
Namibia,2010,*,89,,89,,88,,93,,91,,95,
Nepal,2010,*,60,,73,,48,,83,,88,,78,
Netherlands Antilles,2010,*,96,,96,,96,,98,,98,,98,
Nicaragua,2005,,78,,78,,78,,87,,85,,89,
Niger,2005,,29,,43,,15,,37,,52,,23,
Nigeria,2010,*,61,,72,,50,,72,,78,,66,
Occupied Palestinian Territory,2010,,95,,98,,92,,99,,99,,99,
Oman,2008,,87,,90,,81,,98,,98,,98,
Pakistan,2009,,55,,69,,40,,71,,79,,61,
Panama,2010,,94,,95,,93,,98,,98,,97,
Papua New Guinea,2010,*,61,,64,,57,,68,,65,,72,
Paraguay,2010,,94,,95,,93,,99,,99,,99,
Peru,2007,,90,,95,,85,,97,,98,,97,
Philippines,2008,,95,,95,,96,,98,,97,,98,
Poland,2010,*,100,,100,,99,,100,,100,,100,
Portugal,2010,*,95,,97,,94,,100,,100,,100,
Puerto Rico,2010,*,90,,90,,91,,87,,86,,87,
Qatar,2010,,96,,97,,95,,97,,96,,98,
Republic of Moldova,2010,*,99,,99,,98,,99,,99,,100,
Romania,2010,*,98,,98,,97,,97,,97,,97,
Russian Federation,2010,*,100,,100,,99,,100,,100,,100,
Rwanda,2010,*,71,,75,,68,,77,,77,,78,
Samoa,2010,*,99,,99,,99,,99,,99,,100,
Sao Tome and Principe,2010,*,89,,94,,85,,95,,95,,96,
Saudi Arabia,2010,*,87,,90,,81,,98,,99,,97,
Senegal,2009,,50,,62,,39,,65,,74,,56,
Serbia,2010,*,98,,99,,97,,99,,99,,99,
Seychelles,2010,*,92,,91,,92,,99,,99,,99,
Sierra Leone,2010,*,42,,54,,31,,59,,69,,50,
Singapore,2010,,96,,98,,94,,100,,100,,100,
Slovenia,2010,*,100,,100,,100,,100,,100,,100,
Solomon Islands,1999,,77,,84,,69,,85,,90,,80,
South Africa,2007,,89,,91,,87,,98,,97,,98,
Spain,2010,,98,,99,,97,,100,,100,,100,
Sri Lanka,2010,,91,,93,,90,,98,,98,,99,
Sudan (pre-secession),2010,*,71,,80,,62,,87,,90,,84,
Suriname,2010,,95,,95,,94,,98,,98,,99,
Swaziland,2010,*,87,,88,,87,,94,,92,,95,
Syrian Arab Republic,2010,*,83,,90,,77,,95,,96,,94,
Tajikistan,2010,*,100,,100,,100,,100,,100,,100,
Thailand,2005,,94,,96,,92,,98,,98,,98,
TFYR of Macedonia,2010,*,97,,99,,96,,99,,99,,99,
Timor-Leste,2010,,58,,64,,53,,80,,80,,79,
Togo,2009,,57,,71,,44,,82,,88,,75,
Tonga,2006,,99,,99,,99,,99,,99,,100,
Trinidad and Tobago,2010,*,99,,99,,98,,100,,100,,100,
Tunisia,2008,,78,,86,,71,,97,,98,,96,
Turkey,2009,,91,,96,,85,,98,,99,,97,
Turkmenistan,2010,*,100,,100,,99,,100,,100,,100,
Uganda,2010,,73,,83,,65,,87,,90,,85,
Ukraine,2010,*,100,,100,,100,,100,,100,,100,
United Arab Emirates,2005,,90,,89,,91,,95,,94,,97,
United Republic of Tanzania,2010,*,73,,79,,67,,77,,78,,76,
Uruguay,2010,,98,,98,,98,,99,,98,,99,
Uzbekistan,2010,*,99,,100,,99,,100,,100,,100,
